Country,GDP
Aruba,
Africa Eastern and Southern,141.385955373779
Afghanistan,62.3693745050559
Africa Western and Central,107.053706113053
Angola,
Albania,
Andorra,
Arab World,
United Arab Emirates,
Argentina,
Armenia,
American Samoa,
Antigua and Barbuda,
Australia,1810.59744278609
Austria,935.460426850415
Azerbaijan,
Burundi,71.3602242458753
Belgium,1273.69165910289
Benin,90.0358313130591
Burkina Faso,69.0831953321335
Bangladesh,84.8253371946916
Bulgaria,
Bahrain,
The Bahamas,1483.00368182207
Bosnia and Herzegovina,
Belarus,
Belize,307.12862895614
Bermuda,1902.40208533539
Bolivia,100.673901521639
Brazil,
Barbados,
Brunei Darussalam,
Bhutan,
Botswana,59.2971126032832
Central African Republic,66.7700952131282
Canada,2259.25051088642
Central Europe and the Baltics,
Switzerland,1787.36034770201
Channel Islands,
Chile,504.801137829134
China,89.5202142368479
Ivory Coast,147.277833821146
Cameroon,120.018193753266
Democratic Republic of the Congo,
"Congo, Rep.",124.782358870445
Colombia,256.962847338565
Comoros,
Cabo Verde,
Costa Rica,376.968785602974
Caribbean small states,446.723754402254
Cuba,
Curacao,
Cayman Islands,
Cyprus,
Czechia,
Germany,
Djibouti,
Dominica,
Denmark,
Dominican Republic,203.879750917293
Algeria,239.033005807284
Ecuador,448.114797414384
Egypt,
Eritrea,
Spain,396.392253337614
Estonia,
Ethiopia,
European Union,
Finland,1179.35301099994
Fiji,279.534497756784
France,1333.88157286682
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,275.585338761534
United Kingdom,1397.5948032844
Georgia,
Ghana,177.087736539748
Gibraltar,
Guinea,
"Gambia, The",
Guinea-Bissau,
Equatorial Guinea,
Greece,520.322744310383
Grenada,
Greenland,
Guatemala,252.756171165062
Guam,
Guyana,297.586043682694
High income,1370.52301522054
"Hong Kong SAR, China",424.056554189694
Honduras,161.477559357977
Heavily indebted poor countries (HIPC),92.7029482116696
Croatia,
Haiti,70.0275483086991
Hungary,
IBRD only,169.280373185389
IDA & IBRD total,156.325863034828
IDA total,92.3090525188515
IDA blend,100.199236647375
Indonesia,
IDA only,94.3158729950644
Isle of Man,
India,83.0351018240893
Not classified,
Ireland,685.61471237976
Iran,196.323927100171
Iraq,237.684587278701
Iceland,1414.98226940621
Israel,1229.1747476372
Italy,804.492623346178
Jamaica,425.653769169703
Jordan,
Japan,475.319075592173
Kazakhstan,
Kenya,102.07986772692
Kyrgyz Republic,
Cambodia,114.972955061661
Kiribati,
St. Kitts and Nevis,218.260426227979
South Korea,158.274135881229
Kuwait,
Lao PDR,
Lebanon,
Liberia,
Libya,
St. Lucia,
Latin America & Caribbean,
Sri Lanka,144.101853916495
Lesotho,46.8666376196476
Late-demographic dividend,208.334257387971
Lithuania,
Latvia,
"Macao SAR, China",
St. Martin (French part),
Morocco,172.599319458008
Moldova,
Madagascar,132.670284154147
Maldives,
Middle East & North Africa,
Mexico,359.545059695095
Marshall Islands,
Middle income,154.267431863839
North Macedonia,
Mali,
Malta,
Myanmar,25.0958090258464
Middle East & North Africa (excluding high income),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Mauritius,
Malawi,
Malaysia,244.611029147424
North America,2939.44319984582
Namibia,
New Caledonia,
Niger,128.530590966881
Nigeria,93.397047715008
Nicaragua,
Netherlands,1068.78458723735
Norway,1441.75566002633
Nepal,49.9938398506726
Nauru,
New Zealand,2312.94999239859
OECD members,1329.18860937447
Oman,
Other small states,
Pakistan,81.5869472962009
Panama,476.621422214414
Peru,
Philippines,263.837123795199
Palau,
Papua New Guinea,116.079963538362
Poland,
Pre-demographic dividend,97.8539333012629
Puerto Rico,717.514843087362
"Korea, Dem. People's Rep.",
Portugal,360.499298506858
Paraguay,
West Bank and Gaza,
Pacific island small states,
Post-demographic dividend,1385.35755294697
French Polynesia,
Qatar,
Romania,
Russia,
Rwanda,40.1191924109337
Saudi Arabia,
Sudan,100.319816589355
Senegal,306.641642193102
Singapore,428.056183371291
Solomon Islands,
Sierra Leone,139.986125549463
El Salvador,
San Marino,
Somalia,62.8619936573756
Serbia,
Sub-Saharan Africa (excluding high income),124.342334113495
South Sudan,
Sub-Saharan Africa,124.366932197459
Small states,
Sao Tome and Principe,
Suriname,371.279750815958
Slovak Republic,
Slovenia,
Sweden,2114.00297269192
Eswatini,101.652865313091
Sint Maarten (Dutch part),
Seychelles,288.058144476031
Syria,186.02428722675
Turks and Caicos Islands,
Chad,103.537481624906
Togo,73.3501835873039
Thailand,103.800956567278
Tajikistan,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad and Tobago,632.385227248664
Tunisia,
Turkiye,275.04169850244
Tuvalu,
Tanzania,
Uganda,55.5293371220614
Ukraine,
Upper middle income,196.521005341671
Uruguay,477.786990828994
United States of America,3007.12344537862
Uzbekistan,
St. Vincent and the Grenadines,155.294493767386
"Venezuela, RB",939.560806105492
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,
Vanuatu,
Samoa,
Kosovo,
"Yemen, Rep.",
South Africa,529.561922745367
Zambia,228.567398531142
Zimbabwe,276.643363257328
