Country,GDP
Aruba,
Africa Eastern and Southern,210.078097193662
Afghanistan,134.012768293881
Africa Western and Central,128.366810603031
Angola,
Albania,
Andorra,
Arab World,303.318415256461
United Arab Emirates,
Argentina,
Armenia,
American Samoa,
Antigua and Barbuda,
Australia,2724.1306715175
Austria,1677.67352804272
Azerbaijan,
Burundi,54.647465679035
Belgium,2222.36151051913
Benin,112.477967965441
Burkina Faso,84.9193257057578
Bangladesh,116.940534816855
Bulgaria,
Bahrain,
The Bahamas,2688.94425577987
Bosnia and Herzegovina,
Belarus,
Belize,391.899934684781
Bermuda,2830.18867924528
Bolivia,193.503110289103
Brazil,
Barbados,
Brunei Darussalam,1309.97878748449
Bhutan,
Botswana,113.700974707583
Central African Republic,97.0848054732002
Canada,3462.67887195794
Central Europe and the Baltics,
Switzerland,3121.8890308772
Channel Islands,
Chile,757.741289718022
China,91.4723838962347
Ivory Coast,253.713739470316
Cameroon,170.745595544227
Democratic Republic of the Congo,
"Congo, Rep.",190.898663327729
Colombia,299.922605075449
Comoros,
Cabo Verde,
Costa Rica,440.600668745405
Caribbean small states,640.562461457554
Cuba,
Curacao,
Cayman Islands,
Cyprus,
Czechia,
Germany,
Djibouti,
Dominica,
Denmark,2776.13539044344
Dominican Republic,255.053503091676
Algeria,292.02898396616
Ecuador,443.242230825046
Egypt,178.65710803919
Eritrea,
Spain,950.545740593734
Estonia,
Ethiopia,
European Union,
Finland,1907.07727217667
Fiji,329.960210077899
France,2553.97584327959
Faroe Islands,1732.30578439189
"Micronesia, Fed. Sts.",
Gabon,513.359339770806
United Kingdom,1951.75859587532
Georgia,
Ghana,197.984862552573
Gibraltar,
Guinea,
"Gambia, The",82.4601490452896
Guinea-Bissau,
Equatorial Guinea,214.110158453296
Greece,1154.43853055613
Grenada,
Greenland,
Guatemala,310.661745203358
Guam,
Guyana,334.967713340536
High income,2326.6145142472
"Hong Kong SAR, China",714.48296958061
Honduras,246.589568666502
Heavily indebted poor countries (HIPC),128.034089243189
Croatia,
Haiti,81.517126850435
Hungary,
IBRD only,216.97774364155
IDA & IBRD total,201.454152850746
IDA total,123.7034142878
IDA blend,135.375333235986
Indonesia,64.8391799472623
IDA only,125.800207795191
Isle of Man,
India,99.5168361228774
Not classified,
Ireland,1124.51663608246
Iran,320.858644114884
Iraq,316.356168888835
Iceland,2354.48002671305
Israel,1647.87727434891
Italy,1651.93937679756
Jamaica,598.076233441448
Jordan,410.582255182835
Japan,1451.33770268101
Kazakhstan,
Kenya,127.502462924888
Kyrgyz Republic,
Cambodia,162.627273340246
Kiribati,
St. Kitts and Nevis,305.618353847442
South Korea,198.434884397043
Kuwait,3909.45892538349
Lao PDR,
Lebanon,
Liberia,
Libya,
St. Lucia,
Latin America & Caribbean,
Sri Lanka,152.053065555183
Lesotho,64.4769058099227
Late-demographic dividend,241.004301462307
Lithuania,
Latvia,
"Macao SAR, China",
St. Martin (French part),
Morocco,224.749465942383
Moldova,
Madagascar,164.526757139994
Maldives,
Middle East & North Africa,344.903347898653
Mexico,622.425063446123
Marshall Islands,
Middle income,198.722821823443
North Macedonia,
Mali,57.5469817836491
Malta,
Myanmar,21.500297762959
Middle East & North Africa (excluding high income),247.561705026154
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,294.772813945128
Mauritius,
Malawi,
Malaysia,339.096538995784
North America,4579.98225992377
Namibia,
New Caledonia,2165.90113134603
Niger,145.138275819416
Nigeria,97.7445271190022
Nicaragua,
Netherlands,2185.24865888657
Norway,2662.11749153117
Nepal,64.5116875170472
Nauru,
New Zealand,1885.15615175625
OECD members,2236.9616840483
Oman,296.338362098721
Other small states,
Pakistan,143.287946280962
Panama,776.950403384872
Peru,
Philippines,242.868359176618
Palau,
Papua New Guinea,204.257462725364
Poland,
Pre-demographic dividend,127.444740685367
Puerto Rico,1480.69317642251
"Korea, Dem. People's Rep.",
Portugal,719.08049185329
Paraguay,224.881062211479
West Bank and Gaza,
Pacific island small states,
Post-demographic dividend,2362.70242799385
French Polynesia,2363.51950731967
Qatar,
Romania,
Russia,
Rwanda,47.0233609411225
Saudi Arabia,747.206073728801
Sudan,120.766929626465
Senegal,317.99254428844
Singapore,708.601436896422
Solomon Islands,171.273641137717
Sierra Leone,123.482884773708
El Salvador,293.25776715087
San Marino,
Somalia,81.1681185453728
Serbia,
Sub-Saharan Africa (excluding high income),170.511785639726
South Sudan,
Sub-Saharan Africa,170.528211560974
Small states,
Sao Tome and Principe,
Suriname,678.964069902213
Slovak Republic,
Slovenia,
Sweden,3926.40900146965
Eswatini,189.831335694759
Sint Maarten (Dutch part),
Seychelles,314.351070663894
Syria,264.227758198961
Turks and Caicos Islands,
Chad,128.72404387264
Togo,118.67817846696
Thailand,179.872370025395
Tajikistan,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad and Tobago,784.231408733501
Tunisia,253.848674006404
Turkiye,516.466806309454
Tuvalu,
Tanzania,
Uganda,106.986351842489
Ukraine,
Upper middle income,258.421977405136
Uruguay,578.224870741469
United States of America,4695.92339043178
Uzbekistan,
St. Vincent and the Grenadines,160.299922721861
"Venezuela, RB",940.201419857183
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,
Vanuatu,
Samoa,
Kosovo,
"Yemen, Rep.",
South Africa,813.508496698077
Zambia,398.557506182322
Zimbabwe,302.802870938147
