Country,GDP
Aruba,
Africa Eastern and Southern,243.158263263444
Afghanistan,162.642175409527
Africa Western and Central,193.576278426255
Angola,
Albania,
Andorra,3958.59572490093
Arab World,353.098701367503
United Arab Emirates,
Argentina,
Armenia,
American Samoa,
Antigua and Barbuda,
Australia,3304.83781989103
Austria,2058.76905087549
Azerbaijan,
Burundi,69.3951089241432
Belgium,2765.89099664794
Benin,110.346949982003
Burkina Faso,81.687732085618
Bangladesh,133.142945229324
Bulgaria,
Bahrain,
The Bahamas,3005.78439946974
Bosnia and Herzegovina,
Belarus,
Belize,441.171939292944
Bermuda,3387.27272727273
Bolivia,219.559689960347
Brazil,
Barbados,
Brunei Darussalam,1342.99460275952
Bhutan,
Botswana,162.506050987403
Central African Republic,91.4726487392646
Canada,4135.82149842006
Central Europe and the Baltics,
Switzerland,
Channel Islands,
Chile,931.126737201787
China,113.162577847967
Ivory Coast,265.740358151315
Cameroon,178.406166650309
Democratic Republic of the Congo,
"Congo, Rep.",196.823811701635
Colombia,344.332599843029
Comoros,
Cabo Verde,
Costa Rica,530.706337559723
Caribbean small states,746.028519621388
Cuba,641.853307170666
Curacao,
Cayman Islands,
Cyprus,
Czechia,
Germany,2761.16683289339
Djibouti,
Dominica,
Denmark,3464.45515573196
Dominican Republic,331.890709093269
Algeria,352.533840384931
Ecuador,463.772428375159
Egypt,231.217402368792
Eritrea,
Spain,1212.28932639401
Estonia,
Ethiopia,
European Union,1879.95695734096
Finland,2465.64481862422
Fiji,416.725385728676
France,2870.15751000611
Faroe Islands,2210.8843537415
"Micronesia, Fed. Sts.",
Gabon,542.208327493378
United Kingdom,2347.54431773747
Georgia,
Ghana,249.913351755233
Gibraltar,
Guinea,
"Gambia, The",98.9086769524274
Guinea-Bissau,133.071689189936
Equatorial Guinea,209.277116850747
Greece,1494.38798449137
Grenada,
Greenland,1498.27643678161
Guatemala,349.024975633327
Guam,
Guyana,379.717579732893
High income,2747.13071736096
"Hong Kong SAR, China",960.031961510704
Honduras,259.814651174574
Heavily indebted poor countries (HIPC),139.247398063531
Croatia,
Haiti,70.7569540787026
Hungary,
IBRD only,251.103133177231
IDA & IBRD total,235.644993857854
IDA total,153.762373677751
IDA blend,201.899206204347
Indonesia,79.4134554327543
IDA only,137.230461157223
Isle of Man,
India,111.968318177372
Not classified,
Ireland,1486.51452734638
Iran,385.812266017851
Iraq,334.441202362176
Iceland,2576.35344434276
Israel,
Italy,2106.86395924945
Jamaica,755.595310766486
Jordan,410.639797628638
Japan,2100.74807036009
Kazakhstan,
Kenya,139.75727357607
Kyrgyz Republic,
Cambodia,107.087796158494
Kiribati,248.886250059956
St. Kitts and Nevis,362.479985767657
South Korea,279.308746302217
Kuwait,3579.58266654433
Lao PDR,
Lebanon,
Liberia,
Libya,
St. Lucia,
Latin America & Caribbean,
Sri Lanka,185.367132782546
Lesotho,67.1629199799615
Late-demographic dividend,293.27775833599
Lithuania,
Latvia,
"Macao SAR, China",
St. Martin (French part),
Morocco,257.729644775391
Moldova,
Madagascar,167.455010117476
Maldives,
Middle East & North Africa,407.875585900604
Mexico,706.313187141616
Marshall Islands,
Middle income,233.015715904475
North Macedonia,
Mali,58.4654633309317
Malta,828.421680335959
Myanmar,20.655083825061
Middle East & North Africa (excluding high income),293.986187067264
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,275.713658426309
Mauritius,
Malawi,
Malaysia,374.922880515267
North America,5130.39980228992
Namibia,
New Caledonia,3203.71146492761
Niger,139.177143676431
Nigeria,225.773999482196
Nicaragua,
Netherlands,2927.07293946175
Norway,3306.21947607769
Nepal,69.2709035731927
Nauru,
New Zealand,
OECD members,2628.86095681786
Oman,382.171567235925
Other small states,286.02309686645
Pakistan,169.124000230778
Panama,891.054671320443
Peru,
Philippines,201.923258706176
Palau,
Papua New Guinea,259.362359546686
Poland,
Pre-demographic dividend,170.792647808415
Puerto Rico,1852.35467255335
"Korea, Dem. People's Rep.",
Portugal,934.082156096117
Paraguay,246.850846966175
West Bank and Gaza,
Pacific island small states,
Post-demographic dividend,2792.12960810522
French Polynesia,2154.83794990786
Qatar,2557.40169474101
Romania,
Russia,
Rwanda,56.4371903365366
Saudi Arabia,880.625720441671
Sudan,143.466125488281
Senegal,297.042971137575
Singapore,925.797864348214
Solomon Islands,
Sierra Leone,156.406376983969
El Salvador,313.040018347154
San Marino,
Somalia,86.6976627758938
Serbia,
Sub-Saharan Africa (excluding high income),218.63563638224
South Sudan,
Sub-Saharan Africa,218.643807233609
Small states,460.228563074705
Sao Tome and Principe,
Suriname,723.577192973221
Slovak Republic,
Slovenia,
Sweden,4736.21715377766
Eswatini,253.214761031055
Sint Maarten (Dutch part),
Seychelles,343.88118849057
Syria,281.697840508249
Turks and Caicos Islands,
Chad,127.956455360585
Togo,115.581394854109
Thailand,197.993749770897
Tajikistan,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad and Tobago,831.08333586142
Tunisia,285.144223691643
Turkiye,502.620674427931
Tuvalu,
Tanzania,
Uganda,122.082865885069
Ukraine,
Upper middle income,303.233930095094
Uruguay,765.911758988321
United States of America,5234.2966662115
Uzbekistan,
St. Vincent and the Grenadines,187.387643587686
"Venezuela, RB",1018.10898364984
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,
Vanuatu,
Samoa,
Kosovo,
"Yemen, Rep.",
South Africa,948.591793792672
Zambia,426.302187693943
Zimbabwe,362.144146803774
