Country,GDP,rank
Aruba,13657.67,na
Africa Eastern and Southern,734.74,na
Afghanistan,,na
Africa Western and Central,562.36,na
Angola,657.65,na
Albania,200.85,na
Andorra,21123.06,na
Arab World,2051.92,na
United Arab Emirates,25630.08,na
Argentina,6815.33,74
Armenia,356.08,130
American Samoa,,na
Antigua and Barbuda,7721.76,na
Australia,18623.79,8
Austria,24880.16,120
Azerbaijan,60.24,210
Burundi,188.58,na
Belgium,23372.62,58
Benin,310.62,na
Burkina Faso,349.71,na
Bangladesh,284.97,na
Bulgaria,1211.98,17
Bahrain,8568.66,na
The Bahamas,11025.88,na
Bosnia and Herzegovina,,na
Belarus,900.51,142
Belize,3644.92,na
Bermuda,28669.68,na
Bolivia,763.26,na
Brazil,2505.38,142
Barbados,7520.79,na
Brunei Darussalam,15080.72,na
Bhutan,440.03,na
Botswana,2918.62,na
Central African Republic,471.94,na
Canada,20950.33,9
Central Europe and the Baltics,2361.31,na
Switzerland,40713.69,171
Channel Islands,,na
Chile,3333.96,na
China,423.3,na
Ivory Coast,868.73,na
Cameroon,995.31,na
Democratic Republic of the Congo,230.88,na
"Congo, Rep.",1163.53,na
Colombia,1720.57,104
Comoros,1009.71,na
Cabo Verde,935.11,na
Costa Rica,2578.03,na
Caribbean small states,2885.12,na
Cuba,2048.07,233
Curacao,,na
Cayman Islands,,na
Cyprus,11310.07,160
Czechia,3372.87,na
Germany,26438.23,27
Djibouti,767.11,na
Dominica,3386.67,na
Denmark,29569.66,171
Dominican Republic,1562.52,na
Algeria,1794.62,na
Ecuador,1657.86,na
Egypt,697.73,na
Eritrea,248.34,na
Spain,16112.19,130
Estonia,,224
Ethiopia,201.74,na
European Union,17510.23,na
Finland,22319.06,233
Fiji,1947.5,na
France,23814.23,22
Faroe Islands,19838.5,na
"Micronesia, Fed. Sts.",1730.92,na
Gabon,5390.54,na
United Kingdom,20487.17,11
Georgia,765.36,na
Ghana,395.04,na
Gibraltar,,na
Guinea,480.76,na
"Gambia, The",633.68,na
Guinea-Bissau,221.25,na
Equatorial Guinea,268.7,na
Greece,11176.46,186
Grenada,3069.68,na
