Country,GDP,rank
Aruba,24105.52,na
Africa Eastern and Southern,991.19,na
Afghanistan,221.83,na
Africa Western and Central,841.3,na
Angola,1254.7,na
Albania,2373.58,187
Andorra,37630.76,na
Arab World,3394.1,na
United Arab Emirates,37017.74,na
Argentina,4258.16,28
Armenia,1166.64,159
American Samoa,8832.82,na
Antigua and Barbuda,11650.85,na
Australia,30836.73,38
Austria,36889.23,169
Azerbaijan,1045.01,113
Burundi,128.54,na
Belgium,35429.41,93
Benin,784.12,na
Burkina Faso,405.45,na
Bangladesh,469.12,na
Bulgaria,3389.69,16
Bahrain,15777.96,na
The Bahamas,26393.41,na
Bosnia and Herzegovina,2451.58,281
Belarus,2378.34,46
Belize,5123.6,na
Bermuda,70359.32,na
Bolivia,951.95,na
Brazil,3623.22,65
Barbados,12828.44,na
Brunei Darussalam,21839.26,na
Bhutan,1050.13,na
Botswana,4818.21,na
Central African Republic,309.19,na
Canada,32143.68,1
Central Europe and the Baltics,7176.51,na
Switzerland,54659.46,124
Channel Islands,57200.47,na
Chile,6185.3,na
China,1508.67,na
Ivory Coast,1267.76,na
Cameroon,1119.98,na
Democratic Republic of the Congo,187.86,na
"Congo, Rep.",1314.41,na
Colombia,2811.46,46
Comoros,1090.43,na
Cabo Verde,1900.89,na
Costa Rica,4376.08,na
Caribbean small states,6453.85,na
Cuba,3403.3,212
Curacao,,na
Cayman Islands,,na
Cyprus,23792.62,159
Czechia,11749.85,na
Germany,34106.66,46
Djibouti,813.9,na
Dominica,5354.8,na
Denmark,46511.6,169
Dominican Republic,2468.44,na
Algeria,2624.8,na
Ecuador,2703.57,272
Egypt,1016.25,na
Eritrea,401.37,na
Spain,24907.0,200
Estonia,8914.1,229
Ethiopia,134.54,na
European Union,26307.2,na
Finland,37772.18,143
Fiji,3124.61,na
France,33797.16,187
Faroe Islands,35940.96,na
"Micronesia, Fed. Sts.",2155.78,na
Gabon,5483.14,na
United Kingdom,40366.89,38
Georgia,1305.05,124
Ghana,405.42,na
Gibraltar,,na
Guinea,405.7,na
"Gambia, The",596.63,na
Guinea-Bissau,395.0,na
Equatorial Guinea,5337.61,na
Greece,21995.48,81
Grenada,5470.6,na
Greenland,32023.68,na
Guatemala,1859.1,na
Guam,23590.89,na
Guyana,1036.02,na
High income,31667.14,na
"Hong Kong SAR, China",24928.1,na
Honduras,1201.25,na
Heavily indebted poor countries (HIPC),456.91,na
Croatia,9723.38,187
Haiti,679.28,na
Hungary,10301.7,1
IBRD only,1940.61,na
IDA & IBRD total,1647.94,na
IDA total,656.32,na
IDA blend,820.22,na
Indonesia,1136.76,200
IDA only,574.97,na
Isle of Man,35872.73,na
India,624.11,58
Not classified,,na
Ireland,47754.2,124
"Iran, Islamic Rep.",2751.79,na
Iraq,1314.76,na
Iceland,47334.93,244
Israel,20557.08,28
Italy,31317.2,169
Jamaica,3819.28,na
Jordan,2062.7,na
Japan,38298.98,28
Kazakhstan,2874.29,12
Kenya,462.62,na
Kyrgyz Republic,433.23,na
Cambodia,410.09,na
Kiribati,1063.88,na
St. Kitts and Nevis,10882.35,na
South Korea,16496.13,na
Kuwait,27601.4,396
Lao PDR,410.25,na
Lebanon,4625.3,na
Liberia,287.27,na
Libya,5823.64,na
St. Lucia,6494.6,na
Latin America & Caribbean,4374.33,na
Sri Lanka,1060.14,295
Lesotho,761.18,na
Late-demographic dividend,2435.13,na
Lithuania,6700.33,244
Latvia,6378.67,169
"Macao SAR, China",22381.92,na
St. Martin (French part),,na
Morocco,2177.8,159
Moldova,897.18,na
Madagascar,277.51,na
Maldives,4060.53,na
Middle East & North Africa,3940.42,na
Mexico,7883.52,124
Marshall Islands,2442.08,na
Middle income,1648.65,na
North Macedonia,2795.9,229
Mali,427.72,na
Malta,15197.06,na
Myanmar,223.23,na
Middle East & North Africa (excluding high income),2241.5,na
Montenegro,3380.17,na
Mongolia,784.91,46
Northern Mariana Islands,16829.4,na
Mozambique,403.02,382
Mauritania,801.78,na
Mauritius,5388.06,na
Malawi,407.59,na
Malaysia,4924.34,212
North America,40788.09,na
Namibia,3407.85,na
New Caledonia,25770.53,na
Niger,281.33,na
Nigeria,992.75,na
Nicaragua,1076.0,na
Netherlands,40436.62,244
Norway,57768.7,244
Nepal,279.72,na
Nauru,,na
New Zealand,25420.23,159
OECD members,28798.17,na
Oman,10030.44,na
Other small states,6596.34,na
Pakistan,774.79,na
Panama,4629.03,na
Peru,2393.67,169
Philippines,1122.86,367
Palau,8297.9,na
Papua New Guinea,624.04,na
Poland,6681.31,33
Pre-demographic dividend,665.75,na
Puerto Rico,20988.99,74
"Korea, Dem. People's Rep.",,na
Portugal,18064.16,335
Paraguay,1776.93,351
West Bank and Gaza,1422.19,na
Pacific island small states,2272.91,na
Post-demographic dividend,32624.92,na
French Polynesia,20829.07,na
Qatar,40792.28,na
Romania,3494.99,7
Russia,4102.36,1
Rwanda,270.32,na
Saudi Arabia,10935.02,437
Sudan,737.12,na
Senegal,941.87,na
Singapore,27608.08,74
Solomon Islands,991.99,na
Sierra Leone,258.47,na
El Salvador,2273.96,na
San Marino,59249.65,na
Somalia,,na
Serbia,3502.8,46
Sub-Saharan Africa (excluding high income),927.55,na
South Sudan,,na
Sub-Saharan Africa,928.65,na
Small states,6274.87,na
Sao Tome and Principe,726.6,na
Suriname,2906.73,na
Slovak Republic,10691.45,na
Slovenia,17233.14,169
Sweden,42821.67,169
Eswatini,2599.15,na
Sint Maarten (Dutch part),,na
Seychelles,10827.67,na
Syrian Arab Republic,6241.06,na
Turks and Caicos Islands,21233.93,na
Chad,460.07,na
Togo,406.09,na
Thailand,2647.26,143
Tajikistan,305.27,na
Turkmenistan,1418.81,212
Timor-Leste,465.94,na
Tonga,2195.99,na
Trinidad and Tobago,9756.5,295
Tunisia,3029.85,335
Turkiye,6031.79,na
Tuvalu,2328.49,na
Tanzania,447.59,na
Uganda,292.47,na
Ukraine,1416.6,16
Upper middle income,2470.45,na
