Country,GDP,rank
Aruba,25740.77,na
Africa Eastern and Southern,1420.29,na
Afghanistan,453.39,na
Africa Western and Central,1467.62,na
Angola,3123.7,na
Albania,4114.13,354
Andorra,49750.72,na
Arab World,5587.92,na
United Arab Emirates,31722.59,482
Argentina,8184.39,50
Armenia,2917.37,208
American Samoa,12191.6,na
Antigua and Barbuda,14530.6,na
Australia,42816.57,10
Austria,48153.32,220
Azerbaijan,4950.4,110
Burundi,204.54,na
Belgium,44760.29,83
Benin,1061.72,482
Burkina Faso,603.88,na
Bangladesh,698.52,220
Bulgaria,6988.27,44
Bahrain,19448.18,na
The Bahamas,27120.69,na
Bosnia and Herzegovina,4542.31,264
Belarus,5352.49,27
Belize,5352.1,na
Bermuda,101407.76,na
Bolivia,1725.15,393
Brazil,8569.9,10
Barbados,16309.89,na
Brunei Darussalam,27497.55,na
Bhutan,1768.75,na
Botswana,4938.25,na
Central African Republic,452.92,na
Canada,40876.31,27
Central Europe and the Baltics,12307.64,na
Switzerland,71568.31,198
Channel Islands,,na
Chile,10204.56,62
China,3832.23,na
Ivory Coast,1638.8,na
Cameroon,1445.86,na
Democratic Republic of the Congo,290.16,na
"Congo, Rep.",2283.95,na
Colombia,5245.95,130
Comoros,1409.11,na
Cabo Verde,3592.32,na
Costa Rica,6737.86,208
Caribbean small states,8592.67,na
Cuba,5094.44,181
Curacao,,na
Cayman Islands,81398.32,na
Cyprus,32109.24,117
Czechia,19861.7,na
Germany,41650.37,3
Djibouti,1164.25,na
Dominica,7109.98,na
Denmark,58163.28,117
Dominican Republic,5002.15,na
Algeria,3898.48,511
Ecuador,4240.7,354
Egypt,2212.22,na
Eritrea,602.06,na
Spain,32169.5,190
Estonia,14711.74,283
Ethiopia,373.89,na
European Union,33480.55,na
Finland,47481.48,296
Fiji,3184.69,na
France,41737.76,130
Faroe Islands,47410.96,na
"Micronesia, Fed. Sts.",2598.4,na
Gabon,7325.91,na
United Kingdom,38744.13,44
Georgia,2822.69,54
Ghana,1044.0,na
Gibraltar,,na
Guinea,670.26,na
"Gambia, The",772.12,na
Guinea-Bissau,543.56,na
Equatorial Guinea,14398.77,na
Greece,29828.76,148
Grenada,6810.44,na
Greenland,44918.84,na
Guatemala,2651.83,354
Guam,29335.28,na
Guyana,4213.82,na
High income,37223.19,na
"Hong Kong SAR, China",30697.54,na
Honduras,1762.35,264
Heavily indebted poor countries (HIPC),776.74,na
Croatia,14421.17,101
Haiti,1191.8,na
Hungary,13077.31,14
IBRD only,3772.61,na
IDA & IBRD total,3137.03,na
IDA total,1119.2,na
IDA blend,1357.04,na
Indonesia,2239.1,148
IDA only,1000.55,na
Isle of Man,66175.23,na
India,1096.64,117
Not classified,,na
Ireland,52133.09,416
