Country,GDP
Aruba,
Africa Eastern and Southern,177.769085557526
Afghanistan,105.243195716467
Africa Western and Central,137.301801444326
Angola,
Albania,
Andorra,
Arab World,
United Arab Emirates,
Argentina,
Armenia,
American Samoa,
Antigua and Barbuda,
Australia,2281.01195611049
Austria,1374.53213986075
Azerbaijan,
Burundi,50.9904202202224
Belgium,1835.59476553194
Benin,105.966855710067
Burkina Faso,81.993526810528
Bangladesh,100.967875859392
Bulgaria,
Bahrain,
The Bahamas,2073.82969066231
Bosnia and Herzegovina,
Belarus,
Belize,382.590664740267
Bermuda,2282.21657257181
Bolivia,145.384943287318
Brazil,
Barbados,
Brunei Darussalam,1059.00024693338
Bhutan,
Botswana,80.1938724714593
Central African Republic,81.4282699706318
Canada,2770.36180408145
Central Europe and the Baltics,
Switzerland,2620.475547353
Channel Islands,
Chile,679.124245659146
China,98.4864176995115
Ivory Coast,204.717059183848
Cameroon,143.070467741863
Democratic Republic of the Congo,
"Congo, Rep.",164.250532567942
Colombia,315.212329517137
Comoros,
Cabo Verde,
Costa Rica,369.980559658079
Caribbean small states,578.953262899023
Cuba,
Curacao,
Cayman Islands,
Cyprus,
Czechia,
Germany,
Djibouti,
Dominica,
Denmark,
Dominican Republic,229.559605367368
Algeria,253.309059020723
Ecuador,447.234479370486
Egypt,160.5747365455
Eritrea,
Spain,774.761609330096
Estonia,
Ethiopia,
European Union,
Finland,1882.08685764849
Fiji,313.606852799476
France,2060.29971514635
Faroe Islands,1594.52271011187
"Micronesia, Fed. Sts.",
Gabon,413.625221728406
United Kingdom,1873.56777435421
Georgia,
Ghana,263.77887171758
Gibraltar,
Guinea,
"Gambia, The",
Guinea-Bissau,
Equatorial Guinea,219.47843575924
Greece,899.281238912995
Grenada,
Greenland,
Guatemala,278.828138481721
Guam,
Guyana,327.949859225827
High income,1881.29292043592
"Hong Kong SAR, China",676.805507110096
Honduras,211.631956363001
Heavily indebted poor countries (HIPC),118.610640085773
Croatia,
Haiti,82.6446044443266
Hungary,
IBRD only,210.322530693736
IDA & IBRD total,194.025389134455
IDA total,114.555579707042
IDA blend,126.870998483419
Indonesia,
IDA only,115.619137901984
Isle of Man,
India,119.082475942029
Not classified,
Ireland,1023.77372640936
"Iran, Islamic Rep.",251.239039884272
Iraq,
Iceland,2723.52094989073
Israel,1429.31460528027
Italy,1304.45381661965
Jamaica,556.48105907299
Jordan,548.490188240503
Japan,928.518848597045
Kazakhstan,
Kenya,105.96765270555
Kyrgyz Republic,
Cambodia,140.756742045375
Kiribati,
St. Kitts and Nevis,261.341362697125
South Korea,108.723112442051
Kuwait,4081.42449229397
Lao PDR,
Lebanon,
Liberia,
Libya,
St. Lucia,
Latin America & Caribbean,
Sri Lanka,153.899850853149
Lesotho,63.7976076445663
Late-demographic dividend,243.13055971612
Lithuania,
Latvia,
"Macao SAR, China",
St. Martin (French part),
Morocco,219.482788085938
Moldova,
Madagascar,144.203831948482
Maldives,
Middle East & North Africa,
Mexico,511.020744985416
Marshall Islands,
Middle income,192.236132518313
North Macedonia,
Mali,
Malta,
Myanmar,15.11322745289
Middle East & North Africa (excluding high income),216.158711461081
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,264.431360769995
Mauritius,
Malawi,
Malaysia,325.193319349042
North America,3729.96970361317
Namibia,
New Caledonia,1763.47505484702
Niger,166.122986027187
Nigeria,117.665370767225
Nicaragua,
Netherlands,1708.09635648862
Norway,2164.46882336736
Nepal,65.456270721336
Nauru,
New Zealand,2151.29492695315
OECD members,1814.61199246847
Oman,106.566389620905
Other small states,
Pakistan,114.372018643314
Panama,650.476057490103
Peru,
Philippines,198.666145086048
Palau,
Papua New Guinea,154.882306938584
Poland,
Pre-demographic dividend,122.727305229952
Puerto Rico,1110.83269082498
"Korea, Dem. People's Rep.",
Portugal,520.910659367884
Paraguay,206.978830530206
West Bank and Gaza,
Pacific island small states,
Post-demographic dividend,1905.28370468266
French Polynesia,1789.0689381504
Qatar,
Romania,
Russia,
Rwanda,44.4360635734424
Saudi Arabia,
Sudan,112.605422973633
Senegal,320.895958913271
Singapore,516.531928636745
Solomon Islands,
Sierra Leone,142.635575965101
El Salvador,276.055462703955
San Marino,
Somalia,74.5888175270423
Serbia,
Sub-Saharan Africa (excluding high income),157.670554025939
South Sudan,
Sub-Saharan Africa,157.694017869896
Small states,
Sao Tome and Principe,
Suriname,480.114866274851
Slovak Republic,
Slovenia,
Sweden,3206.09917020339
Eswatini,180.986080671233
Sint Maarten (Dutch part),
Seychelles,328.484883920328
Syrian Arab Republic,247.714365755592
Turks and Caicos Islands,
Chad,124.965247321126
Togo,102.889871423104
Thailand,141.851950517512
Tajikistan,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad and Tobago,793.321495038193
Tunisia,222.343486242876
Turkiye,381.413343185909
Tuvalu,
Tanzania,
Uganda,100.180847188397
Ukraine,
Upper middle income,239.324076952451
Uruguay,706.269354948246
United States,3827.52710972039
Uzbekistan,
St. Vincent and the Grenadines,165.127007624399
"Venezuela, RB",869.906867323502
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,
Vanuatu,
Samoa,
Kosovo,
"Yemen, Rep.",
South Africa,681.13111132363
Zambia,296.022427096471
Zimbabwe,294.893604869097
