Country,GDP,rank
Aruba,21026.17,na
Africa Eastern and Southern,710.67,na
Afghanistan,,na
Africa Western and Central,519.76,na
Angola,556.88,na
Albania,1126.68,309
Andorra,21620.47,na
Arab World,2858.48,na
United Arab Emirates,31855.5,na
Argentina,7666.52,100
Armenia,603.3,40
American Samoa,,na
Antigua and Barbuda,11010.2,na
Australia,21870.42,28
Austria,24625.6,89
Azerbaijan,655.1,230
Burundi,138.0,na
Belgium,23098.89,161
Benin,503.0,na
Burkina Faso,249.8,na
Bangladesh,413.1,na
Bulgaria,1621.26,12
Bahrain,12738.77,na
The Bahamas,24849.61,na
Bosnia and Herzegovina,1332.21,123
Belarus,1276.28,1
Belize,4720.17,na
Bermuda,56284.17,na
Bolivia,977.33,na
Brazil,3726.81,138
Barbados,11560.25,na
Brunei Darussalam,17971.89,na
Bhutan,722.83,na
Botswana,3351.7,na
Central African Republic,243.88,na
Canada,24271.0,7
Central Europe and the Baltics,3952.11,na
Switzerland,38865.02,68
Channel Islands,44318.22,na
Chile,5102.97,na
China,959.36,na
Ivory Coast,986.78,na
Cameroon,700.16,na
Democratic Republic of the Congo,392.63,na
"Congo, Rep.",1029.96,na
Colombia,2546.85,176
Comoros,654.18,na
Cabo Verde,1176.71,na
Costa Rica,3773.03,na
Caribbean small states,5249.45,na
Cuba,2752.2,149
Curacao,,na
Cayman Islands,,na
Cyprus,14388.35,230
Czechia,6029.04,na
Germany,23694.76,28
Djibouti,742.87,na
Dominica,4879.15,na
Denmark,30743.55,190
Dominican Republic,2845.85,na
Algeria,1780.38,na
Ecuador,1451.53,350
Egypt,1398.86,na
Eritrea,295.2,na
Spain,14749.69,287
Estonia,4070.61,161
Ethiopia,122.96,na
European Union,16947.76,na
Finland,24345.91,161
Fiji,2015.86,na
France,22416.43,190
Faroe Islands,23370.77,na
"Micronesia, Fed. Sts.",2088.21,na
Gabon,3991.16,na
United Kingdom,28280.93,68
Georgia,749.91,45
Ghana,253.38,na
Gibraltar,,na
Guinea,359.29,na
"Gambia, The",544.62,na
Guinea-Bissau,301.5,na
Equatorial Guinea,1527.06,na
Greece,12072.93,204
Grenada,4840.68,na
Greenland,19004.0,na
Guatemala,1664.31,350
Guam,,na
Guyana,938.89,na
High income,25190.74,na
"Hong Kong SAR, China",25756.77,na
Honduras,1079.61,na
Heavily indebted poor countries (HIPC),373.81,na
Croatia,4952.38,123
Haiti,815.0,na
Hungary,4624.28,20
IBRD only,1475.67,na
IDA & IBRD total,1265.39,na
IDA total,514.26,na
IDA blend,603.72,na
Indonesia,770.87,176
IDA only,470.77,na
Isle of Man,20693.84,na
India,442.03,68
Not classified,,na
Ireland,26334.57,287
"Iran, Islamic Rep.",1672.02,na
Iraq,1963.72,na
Iceland,32096.37,230
Israel,21630.75,15
Italy,20137.59,123
Jamaica,3447.3,na
Jordan,1673.36,na
Japan,39169.36,28
Kazakhstan,1229.0,89
Kenya,411.82,na
Kyrgyz Republic,279.62,na
Cambodia,301.52,na
Kiribati,757.13,na
St. Kitts and Nevis,9275.99,na
South Korea,12257.02,na
Kuwait,19493.89,350
Lao PDR,318.77,na
Lebanon,3994.86,na
Liberia,301.88,na
Libya,7424.35,na
St. Lucia,5846.98,na
Latin America & Caribbean,4463.78,na
Sri Lanka,869.75,260
Lesotho,443.95,na
Late-demographic dividend,1666.77,na
Lithuania,3293.23,161
