Country,GDP,rank
Aruba,29011.64,na
Africa Eastern and Southern,1435.81,na
Afghanistan,382.53,na
Africa Western and Central,1685.56,na
Angola,4081.72,na
Albania,4370.54,170
Andorra,53721.39,na
Arab World,6531.53,na
United Arab Emirates,45140.77,479
Argentina,8977.51,92
Armenia,3908.95,297
American Samoa,10019.5,na
Antigua and Barbuda,16457.1,na
Australia,49701.28,57
Austria,51919.98,212
Azerbaijan,5574.47,170
Burundi,194.71,na
Belgium,48303.4,127
Benin,1098.95,na
Burkina Faso,621.89,na
Bangladesh,630.11,337
Bulgaria,7271.3,5
Bahrain,23155.82,na
The Bahamas,29013.63,na
Bosnia and Herzegovina,4846.79,159
Belarus,6376.18,64
Belize,5665.97,na
Bermuda,106935.49,na
Bolivia,1687.58,479
Brazil,8801.76,48
Barbados,17551.86,na
Brunei Darussalam,37427.54,na
Bhutan,1780.11,na
Botswana,5345.85,na
Central African Republic,446.23,na
Canada,46710.51,64
Central Europe and the Baltics,14577.95,na
Switzerland,74175.19,127
Channel Islands,,na
Chile,10797.05,92
China,3468.33,na
Ivory Coast,1683.34,na
Cameroon,1476.01,na
Democratic Republic of the Congo,317.89,na
"Congo, Rep.",2848.65,na
Colombia,5534.69,78
Comoros,1454.65,na
Cabo Verde,3839.86,na
Costa Rica,6841.91,212
Caribbean small states,10223.2,na
Cuba,4992.82,71
Curacao,,na
Cayman Islands,89704.22,na
Cyprus,35397.36,199
Czechia,22804.58,na
Germany,45612.71,12
Djibouti,1131.64,na
Dominica,6661.47,na
Denmark,64322.06,107
Dominican Republic,5053.33,na
Algeria,4946.56,na
Ecuador,4260.43,346
Egypt,1941.9,na
Eritrea,459.18,na
Spain,35510.72,238
Estonia,18204.97,238
Ethiopia,320.86,na
European Union,37044.04,na
Finland,53772.79,238
Fiji,3928.92,na
France,45515.96,127
Faroe Islands,51431.97,na
"Micronesia, Fed. Sts.",2420.75,na
Gabon,9732.23,na
United Kingdom,47396.12,92
Georgia,3324.75,212
Ghana,1178.96,na
Gibraltar,,na
Guinea,712.1,na
"Gambia, The",857.86,na
Guinea-Bissau,583.27,na
Equatorial Guinea,19849.72,na
Greece,32127.98,159
Grenada,7343.45,na
Greenland,44366.79,na
Guatemala,2802.45,238
Guam,28277.43,na
