Country,GDP,rank
Aruba,26514.87,na
Africa Eastern and Southern,1736.85,na
Afghanistan,638.73,na
Africa Western and Central,2154.15,na
Angola,5061.35,na
Albania,4413.06,na
Andorra,44747.76,na
Arab World,7352.09,na
United Arab Emirates,45729.61,na
Argentina,13080.25,151
Armenia,3833.16,61
American Samoa,12038.87,na
Antigua and Barbuda,14977.07,na
Australia,68198.42,8
Austria,50731.13,61
Azerbaijan,7875.35,163
Burundi,241.55,na
Belgium,46757.95,110
Benin,1214.3,na
Burkina Faso,762.3,na
Bangladesh,973.77,163
Bulgaria,7687.71,101
Bahrain,25790.73,na
The Bahamas,26955.79,na
Bosnia and Herzegovina,5025.24,250
Belarus,7998.08,34
Belize,5865.47,na
Bermuda,99471.64,na
Bolivia,2853.8,452
Brazil,12258.57,57
Barbados,16923.59,na
Brunei Darussalam,43950.05,na
Bhutan,2409.44,na
Botswana,6436.6,na
Central African Republic,352.23,na
Canada,52635.17,8
Central Europe and the Baltics,13667.04,na
Switzerland,87304.33,138
Channel Islands,,na
Chile,15842.16,180
China,7020.39,na
Ivory Coast,1903.05,na
Cameroon,1559.14,na
Democratic Republic of the Congo,444.86,na
"Congo, Rep.",3719.65,na
Colombia,8263.64,151
Comoros,1595.99,na
Cabo Verde,3757.66,na
Costa Rica,10633.27,234
Caribbean small states,10560.26,na
Cuba,6814.24,306
Curacao,19721.29,na
Cayman Islands,75685.36,na
Cyprus,27727.54,138
Czechia,20133.17,na
Germany,46298.92,61
Djibouti,2102.2,na
Dominica,7240.68,na
Denmark,61191.19,322
Dominican Republic,6171.3,na
Algeria,5519.78,na
Ecuador,6050.35,138
Egypt,3088.89,na
Eritrea,,na
Spain,29077.18,211
Estonia,19056.0,234
Ethiopia,490.79,na
European Union,34564.58,na
Finland,49892.22,61
Fiji,4586.96,na
France,42602.72,61
Faroe Islands,55560.13,na
"Micronesia, Fed. Sts.",2920.7,na
Gabon,9250.08,na
United Kingdom,43426.3,23
Georgia,4623.88,211
Ghana,2282.41,na
Gibraltar,,na
Guinea,757.69,na
"Gambia, The",647.39,na
Guinea-Bissau,616.16,na
Equatorial Guinea,17644.59,na
Greece,21787.79,61
Grenada,7205.25,na
Greenland,47535.49,na
Guatemala,3522.77,na
Guam,32318.89,na
Guyana,5576.25,na
High income,41752.36,na
"Hong Kong SAR, China",38403.78,na
Honduras,2064.55,494
Heavily indebted poor countries (HIPC),988.61,na
Croatia,13979.19,10
Haiti,1452.31,na
Hungary,13715.07,61
IBRD only,5839.26,na
IDA & IBRD total,4727.35,na
IDA total,1367.05,na
IDA blend,2008.21,na
Indonesia,3602.89,10
IDA only,1043.98,na
Isle of Man,83204.75,na
India,1438.06,61
Not classified,,na
Ireland,51496.96,355
"Iran, Islamic Rep.",6280.68,na
Iraq,6612.9,na
Iceland,49804.98,355
Israel,36941.84,5
Italy,35560.08,10
Jamaica,5143.72,na
Jordan,4477.62,na
Japan,40898.65,46
Kazakhstan,13890.63,131
Kenya,1376.83,na
Kyrgyz Republic,1282.44,na
Cambodia,1015.22,na
Kiribati,1628.64,na
St. Kitts and Nevis,18315.91,na
South Korea,27179.52,na
Kuwait,47762.8,na
Lao PDR,1815.44,na
Lebanon,8255.21,na
Liberia,717.64,na
Libya,12589.53,na
St. Lucia,9542.71,na
Latin America & Caribbean,10450.94,na
Sri Lanka,3643.83,234
Lesotho,1141.36,na
Late-demographic dividend,8544.8,na
Lithuania,15729.65,180
Latvia,15007.49,196
"Macao SAR, China",86853.48,na
St. Martin (French part),,na
Morocco,3377.64,355
Moldova,3321.04,na
Madagascar,526.69,na
Maldives,8222.56,na
Middle East & North Africa,8471.78,na
Mexico,11317.49,61
Marshall Islands,3611.7,na
Middle income,4933.77,na
North Macedonia,5241.05,234
Mali,778.8,na
Malta,24769.6,na
Myanmar,1189.96,na
Middle East & North Africa (excluding high income),4470.14,na
Montenegro,7188.86,474
Mongolia,4422.3,163
Northern Mariana Islands,14806.01,na
Mozambique,681.07,na
Mauritania,1929.78,na
Mauritius,9764.64,na
Malawi,501.2,na
Malaysia,10727.67,57
North America,53234.15,na
Namibia,5463.03,na
New Caledonia,38503.25,na
Niger,548.16,na
Nigeria,2976.76,196
Nicaragua,1794.79,355
Netherlands,52198.9,46
Norway,103553.84,250
Nepal,809.38,na
Nauru,8825.98,na
New Zealand,42976.65,151
OECD members,37546.48,na
Oman,23563.94,na
Other small states,15303.84,na
Pakistan,1259.67,355
Panama,11932.29,335
Peru,6697.19,46
Philippines,2847.57,163
Palau,12418.83,na
Papua New Guinea,2578.5,na
Poland,13558.34,61
Pre-demographic dividend,1820.02,na
Puerto Rico,28513.17,335
"Korea, Dem. People's Rep.",,na
Portugal,21653.2,30
Paraguay,6410.81,250
West Bank and Gaza,3315.3,na
Pacific island small states,3582.88,na
Post-demographic dividend,42523.74,na
French Polynesia,20941.52,na
Qatar,97630.83,na
Romania,9497.21,46
Russia,15974.62,10
Rwanda,704.49,na
Saudi Arabia,23945.51,163
Sudan,1834.56,na
Senegal,1391.53,na
Singapore,56967.43,3
Solomon Islands,2208.09,na
Sierra Leone,706.45,na
El Salvador,3555.16,394
San Marino,50435.37,na
Somalia,454.08,na
Serbia,6755.07,34
Sub-Saharan Africa (excluding high income),1904.82,na
South Sudan,1659.14,na
Sub-Saharan Africa,1906.03,na
Small states,13668.09,na
Sao Tome and Principe,1378.23,na
Suriname,9124.54,na
Slovak Republic,18276.01,na
Slovenia,23503.28,335
Sweden,61126.94,101
Eswatini,4111.13,na
