Country,GDP,rank
Aruba,19833.83,na
Africa Eastern and Southern,673.52,na
Afghanistan,,na
Africa Western and Central,523.22,na
Angola,387.69,na
Albania,1033.24,227
Andorra,18884.18,na
Arab World,2557.57,na
United Arab Emirates,27261.91,na
Argentina,7735.32,129
Armenia,575.63,119
American Samoa,,na
Antigua and Barbuda,10379.16,na
Australia,20712.67,4
Austria,27183.48,95
Azerbaijan,573.89,159
Burundi,130.75,na
Belgium,25252.8,202
Benin,541.7,na
Burkina Faso,293.89,na
Bangladesh,404.49,na
Bulgaria,1659.72,13
Bahrain,9566.1,na
The Bahamas,23991.7,na
Bosnia and Herzegovina,1128.4,109
Belarus,1210.59,6
Belize,4283.48,na
Bermuda,54245.46,na
Bolivia,981.75,na
Brazil,3456.42,119
Barbados,11173.95,na
Brunei Darussalam,14065.7,na
Bhutan,699.33,na
Botswana,3242.14,na
Central African Republic,273.43,na
Canada,22315.25,109
Central Europe and the Baltics,3989.19,na
Switzerland,41695.69,95
Channel Islands,43247.69,na
Chile,4980.01,na
China,873.3,na
Ivory Coast,1154.48,na
Cameroon,786.85,na
Democratic Republic of the Congo,99.76,na
"Congo, Rep.",780.59,na
Colombia,2236.07,85
Comoros,726.49,na
Cabo Verde,1317.57,na
Costa Rica,3653.75,na
Caribbean small states,4928.36,na
Cuba,2562.27,85
Curacao,,na
Cayman Islands,,na
Cyprus,15287.92,227
Czechia,6337.42,na
Germany,26734.94,45
Djibouti,745.21,na
Dominica,4829.24,na
Denmark,33440.79,129
Dominican Republic,2631.74,na
Algeria,1602.86,na
Ecuador,1582.76,na
Egypt,1297.57,na
Eritrea,292.35,na
Spain,15720.64,119
Estonia,4140.94,202
Ethiopia,118.33,na
European Union,18482.62,na
Finland,26186.19,70
Fiji,2351.72,na
France,24678.39,95
Faroe Islands,24947.12,na
"Micronesia, Fed. Sts.",1973.66,na
Gabon,3758.16,na
United Kingdom,28762.09,78
Georgia,673.54,45
Ghana,402.47,na
Gibraltar,,na
Guinea,423.4,na
"Gambia, The",583.4,na
Guinea-Bissau,186.04,na
Equatorial Guinea,948.23,na
Greece,13249.66,85
Grenada,4512.22,na
Greenland,20170.32,na
Guatemala,1619.51,371
Guam,,na
Guyana,916.55,na
High income,24824.33,na
"Hong Kong SAR, China",25091.67,na
Honduras,990.3,na
Heavily indebted poor countries (HIPC),354.25,na
Croatia,5267.51,109
Haiti,506.0,na
Hungary,4793.48,1
IBRD only,1372.45,na
IDA & IBRD total,1175.23,na
IDA total,461.49,na
IDA blend,502.21,na
Indonesia,663.52,227
IDA only,443.13,na
Isle of Man,20991.62,na
India,440.96,78
Not classified,,na
Ireland,26338.11,202
"Iran, Islamic Rep.",1765.78,na
Iraq,1548.3,na
Iceland,32381.63,138
Israel,19742.52,138
Italy,22005.05,85
Jamaica,3423.01,na
Jordan,1646.19,na
Japan,36610.17,28
Kazakhstan,1130.12,109
Kenya,430.37,na
Kyrgyz Republic,258.05,na
Cambodia,295.59,na
Kiribati,790.87,na
St. Kitts and Nevis,9070.73,na
South Korea,10672.45,na
Kuwait,16044.49,394
Lao PDR,272.36,na
Lebanon,4091.99,na
Liberia,,na
Libya,7112.67,na
St. Lucia,5825.07,na
Latin America & Caribbean,4101.82,na
Sri Lanka,838.56,344
Lesotho,457.7,na
Late-demographic dividend,1529.73,na
Lithuania,3113.18,138
Latvia,3151.58,33
"Macao SAR, China",15387.53,na
St. Martin (French part),,na
Morocco,1627.14,202
Moldova,399.5,na
Madagascar,271.94,na
Maldives,2118.72,na
Middle East & North Africa,2996.12,na
Mexico,6552.66,109
Marshall Islands,2123.68,na
Middle income,1166.39,na
North Macedonia,1915.39,138
Mali,315.17,na
Malta,10720.91,na
Myanmar,188.42,na
Middle East & North Africa (excluding high income),1818.62,na
Montenegro,,na
Mongolia,435.42,70
Northern Mariana Islands,,na
Mozambique,362.51,na
Mauritania,757.81,na
Mauritius,3695.93,na
Malawi,235.51,na
Malaysia,3538.36,248
North America,33320.92,na
Namibia,2175.45,na
New Caledonia,17435.75,na
Niger,225.95,na
Nigeria,494.13,na
Nicaragua,961.55,na
Netherlands,28272.64,109
Norway,36393.29,70
Nepal,208.49,na
Nauru,,na
New Zealand,15322.22,109
OECD members,22719.73,na
Oman,6742.82,na
Other small states,3850.62,na
Pakistan,420.68,na
Panama,4121.56,na
Peru,1911.74,371
Philippines,1123.16,227
Palau,,na
Papua New Guinea,653.41,na
Poland,4398.07,33
Pre-demographic dividend,447.12,na
Puerto Rico,15220.99,na
"Korea, Dem. People's Rep.",,na
Portugal,12475.29,292
Paraguay,1758.26,na
West Bank and Gaza,1499.49,na
Pacific island small states,1869.53,na
Post-demographic dividend,25544.11,na
French Polynesia,15847.93,na
Qatar,20207.23,na
Romania,1599.91,1
Russia,1330.76,6
Rwanda,269.33,na
Saudi Arabia,7697.27,na
Sudan,339.28,na
Senegal,695.55,na
Singapore,21796.64,129
Solomon Islands,1164.1,na
Sierra Leone,149.58,na
El Salvador,1904.87,na
San Marino,42004.95,na
Somalia,,na
Serbia,2571.3,na
Sub-Saharan Africa (excluding high income),610.49,na
South Sudan,,na
Sub-Saharan Africa,611.44,na
Small states,3953.82,na
Sao Tome and Principe,,na
Suriname,1883.89,na
Slovak Republic,5645.58,na
Slovenia,11452.78,178
Sweden,30941.08,138
Eswatini,1519.97,na
Sint Maarten (Dutch part),,na
Seychelles,8243.24,na
Syrian Arab Republic,4588.98,na
Turks and Caicos Islands,,na
Chad,192.27,na
Togo,323.89,na
Thailand,2028.57,138
Tajikistan,175.56,na
Turkmenistan,544.44,270
Timor-Leste,,na
Tonga,1953.37,na
Trinidad and Tobago,5130.87,316
Tunisia,2344.0,270
Turkiye,4057.82,na
Tuvalu,1419.83,na
Tanzania,390.42,na
Uganda,257.68,na
Ukraine,635.76,1
Upper middle income,1707.74,na
Uruguay,7314.49,248
United States of America,34515.39,15
Uzbekistan,702.48,248
St. Vincent and the Grenadines,3427.51,na
"Venezuela, RB",4087.83,na
British Virgin Islands,,na
Virgin Islands (U.S.),,na
