Country,GDP,rank
Aruba,26043.16,na
Africa Eastern and Southern,1806.77,na
Afghanistan,608.74,na
Africa Western and Central,1861.38,na
Angola,4608.16,na
Albania,4437.14,402
Andorra,51428.19,na
Arab World,6894.82,na
United Arab Emirates,42078.61,530
Argentina,12848.74,39
Armenia,3462.68,83
American Samoa,10495.3,na
Antigua and Barbuda,14774.03,na
Australia,62609.66,113
Austria,51442.28,74
Azerbaijan,7189.82,55
Burundi,236.45,na
Belgium,47410.57,202
Benin,1099.41,na
Burkina Faso,727.61,na
Bangladesh,856.38,145
Bulgaria,7857.17,55
Bahrain,23741.56,na
The Bahamas,26644.93,na
Bosnia and Herzegovina,4980.9,202
Belarus,6527.66,83
Belize,5519.34,na
Bermuda,97774.16,na
Bolivia,2304.98,282
Brazil,13200.56,113
Barbados,16902.49,na
Brunei Darussalam,46139.11,na
Bhutan,2491.27,na
Botswana,7080.78,na
Central African Republic,515.21,na
Canada,52223.7,25
Central Europe and the Baltics,13964.09,na
Switzerland,90476.76,55
Channel Islands,,na
Chile,14637.76,171
China,5614.39,na
Ivory Coast,1701.7,320
Cameroon,1497.93,na
Democratic Republic of the Congo,376.37,na
"Congo, Rep.",3415.06,na
Colombia,7392.94,145
Comoros,1526.83,na
Cabo Verde,3880.07,na
Costa Rica,9137.46,113
Caribbean small states,9967.74,na
Cuba,6106.01,na
Curacao,19426.33,na
Cayman Islands,75435.61,na
Cyprus,32395.75,222
Czechia,21871.27,na
Germany,46705.9,1
Djibouti,1322.73,na
Dominica,7288.5,na
Denmark,61753.65,113
Dominican Republic,5859.38,na
Algeria,5473.28,na
Ecuador,5202.66,171
Egypt,2645.62,na
Eritrea,643.79,na
Spain,31677.9,145
Estonia,17487.8,202
Ethiopia,348.0,na
European Union,35767.08,na
Finland,51148.93,74
Fiji,4160.72,na
France,43846.47,74
Faroe Islands,51786.48,na
"Micronesia, Fed. Sts.",2885.44,na
Gabon,10273.8,na
United Kingdom,42109.64,25
Georgia,4021.76,145
Ghana,1501.06,na
Gibraltar,,na
Guinea,644.5,na
"Gambia, The",705.48,na
Guinea-Bissau,683.53,na
Equatorial Guinea,18659.42,na
Greece,25483.88,14
Grenada,6775.75,na
Greenland,47186.88,na
Guatemala,3228.04,466
Guam,30087.72,na
Guyana,4960.0,na
High income,41688.73,na
"Hong Kong SAR, China",35142.49,na
Honduras,2053.96,449
Heavily indebted poor countries (HIPC),908.51,na
Croatia,14655.87,113
Haiti,1306.85,na
Hungary,14234.47,83
IBRD only,5320.92,na
IDA & IBRD total,4325.48,na
IDA total,1248.55,na
IDA blend,1734.11,na
Indonesia,3613.8,83
IDA only,1003.97,na
Isle of Man,77838.4,na
India,1449.6,39
Not classified,,na
Ireland,52219.71,420
"Iran, Islamic Rep.",8201.58,na
Iraq,5736.9,na
Iceland,47714.59,282
Israel,34354.72,39
Italy,38649.64,14
Jamaica,5259.93,na
Jordan,4152.49,na
Japan,48760.08,6
Kazakhstan,11634.0,113
Kenya,1099.32,na
Kyrgyz Republic,1123.88,na
Cambodia,880.31,na
Kiribati,1644.41,na
St. Kitts and Nevis,17571.98,na
South Korea,25097.6,na
Kuwait,49010.31,530
Lao PDR,1363.73,na
Lebanon,7914.11,na
Liberia,573.53,na
Libya,7784.13,na
St. Lucia,9110.75,na
Latin America & Caribbean,10306.43,na
Sri Lanka,3248.04,253
Lesotho,1265.86,na
Late-demographic dividend,7525.55,na
Lithuania,14376.95,171
Latvia,13338.96,113
"Macao SAR, China",64528.36,na
St. Martin (French part),21344.59,na
Morocco,3302.45,113
Moldova,2941.36,na
Madagascar,516.9,na
Maldives,7409.33,na
Middle East & North Africa,8320.32,na
Mexico,10766.61,83
Marshall Islands,3238.89,na
Middle income,4478.61,na
North Macedonia,5098.09,253
Mali,810.18,na
Malta,23155.1,na
Myanmar,1204.5,na
Middle East & North Africa (excluding high income),4678.5,na
Montenegro,7328.79,378
Mongolia,3793.74,186
Northern Mariana Islands,13880.43,na
Mozambique,615.28,na
Mauritania,1919.45,na
Mauritius,9197.04,na
Malawi,769.05,na
Malaysia,10209.37,25
North America,50289.02,na
Namibia,5873.06,na
New Caledonia,40697.65,na
Niger,507.6,na
Nigeria,2504.88,145
Nicaragua,1644.8,na
Netherlands,54230.31,83
Norway,101221.81,83
Nepal,791.23,na
Nauru,6328.1,na
New Zealand,38387.63,55
OECD members,37547.35,na
Oman,24166.1,na
Other small states,14660.14,na
Pakistan,1161.04,222
Panama,9403.44,428
Peru,5826.83,6
Philippines,2431.2,171
Palau,10795.56,na
Papua New Guinea,2303.83,na
Poland,13776.39,25
Pre-demographic dividend,1626.63,na
Puerto Rico,27278.88,303
"Korea, Dem. People's Rep.",,na
Portugal,23217.3,39
Paraguay,5776.28,282
West Bank and Gaza,2880.8,na
Pacific island small states,3324.4,na
Post-demographic dividend,42530.78,na
French Polynesia,21747.99,na
Qatar,92993.0,na
Romania,9560.16,39
Russia,14311.06,14
Rwanda,650.99,na
Saudi Arabia,22441.57,145
Sudan,1982.82,na
Senegal,1383.54,na
Singapore,53891.46,2
Solomon Islands,1921.36,na
Sierra Leone,443.45,na
El Salvador,3304.97,420
San Marino,55815.29,na
Somalia,,na
Serbia,6809.16,14
Sub-Saharan Africa (excluding high income),1827.41,na
South Sudan,1455.36,na
Sub-Saharan Africa,1828.41,na
Small states,13029.26,na
Sao Tome and Principe,1217.21,na
Suriname,8009.25,na
Slovak Republic,18509.74,na
Slovenia,25128.02,253
Sweden,60755.76,113
Eswatini,4360.96,na
Sint Maarten (Dutch part),27997.29,na
Seychelles,12113.88,na
Syrian Arab Republic,2971.28,na
Turks and Caicos Islands,23649.71,na
Chad,988.19,na
Togo,803.48,na
Thailand,5396.64,6
Tajikistan,837.88,113
Turkmenistan,5453.16,222
Timor-Leste,936.71,na
Tonga,3852.14,na
Trinidad and Tobago,17910.32,338
Tunisia,4361.95,253
Turkiye,11300.79,na
Tuvalu,3663.27,na
Tanzania,768.93,na
Uganda,837.1,na
Ukraine,3704.84,39
Upper middle income,7182.16,na
Uruguay,14975.56,315
United States of America,50065.97,4
