Country,GDP,rank
Aruba,9274.51,na
Africa Eastern and Southern,702.32,na
Afghanistan,,na
Africa Western and Central,555.93,na
Angola,793.39,na
Albania,652.77,na
Andorra,14529.06,na
Arab World,2012.72,na
United Arab Emirates,21545.46,na
Argentina,4005.2,150
Armenia,,na
American Samoa,,na
Antigua and Barbuda,6230.47,na
Australia,14284.52,13
Austria,17578.62,14
Azerbaijan,,na
Burundi,205.32,na
Belgium,16391.09,73
Benin,335.34,na
Burkina Faso,301.95,na
Bangladesh,258.83,na
Bulgaria,2511.39,18
Bahrain,7660.07,na
The Bahamas,10819.27,na
Bosnia and Herzegovina,,na
Belarus,,na
Belize,1831.02,na
Bermuda,24253.18,na
Bolivia,675.71,na
Brazil,,131
Barbados,7005.5,na
Brunei Darussalam,10949.8,na
Bhutan,514.69,na
Botswana,2096.74,na
Central African Republic,476.02,na
Canada,19012.57,8
Central Europe and the Baltics,,na
Switzerland,32690.43,na
Channel Islands,,na
Chile,2015.93,na
China,370.22,na
Ivory Coast,928.64,na
Cameroon,1137.23,na
Democratic Republic of the Congo,272.81,na
"Congo, Rep.",981.89,na
Colombia,1254.53,87
Comoros,873.62,na
Cabo Verde,748.25,na
Costa Rica,1537.46,na
Caribbean small states,2752.32,na
Cuba,2633.85,185
Curacao,,na
Cayman Islands,,na
Cyprus,7645.63,150
Czechia,,na
Germany,17931.28,12
Djibouti,820.58,na
Dominica,2430.59,na
Denmark,22527.05,na
Dominican Republic,786.38,na
Algeria,2437.38,60
Ecuador,1309.14,258
Egypt,644.22,na
Eritrea,,na
Spain,9703.12,131
Estonia,,na
Ethiopia,245.08,na
European Union,12176.27,na
Finland,22047.79,113
Fiji,1452.19,na
France,17727.51,8
Faroe Islands,20626.01,na
"Micronesia, Fed. Sts.",1312.81,na
Gabon,4121.07,na
United Kingdom,15987.17,44
Georgia,,na
Ghana,354.27,na
Gibraltar,,na
Guinea,398.9,na
"Gambia, The",277.54,na
Guinea-Bissau,174.38,na
Equatorial Guinea,232.94,na
Greece,7598.03,87
Grenada,2366.49,na
Greenland,16397.95,na
Guatemala,915.4,na
Guam,,na
Guyana,545.59,na
High income,16003.41,na
"Hong Kong SAR, China",10609.75,na
Honduras,1235.37,na
Heavily indebted poor countries (HIPC),410.16,na
Croatia,,na
Haiti,393.37,na
Hungary,,47
IBRD only,971.21,na
IDA & IBRD total,859.67,na
IDA total,406.57,na
IDA blend,513.31,na
Indonesia,479.81,233
IDA only,355.74,na
Isle of Man,,na
India,355.74,na
Not classified,,na
Ireland,10715.87,140
"Iran, Islamic Rep.",2361.42,na
Iraq,3690.07,na
Iceland,24451.97,113
Israel,,16
Italy,15744.66,102
Jamaica,1625.76,na
Jordan,1988.31,na
Japan,25499.88,na
Kazakhstan,,na
Kenya,386.36,na
Kyrgyz Republic,,na
Cambodia,,na
Kiribati,621.3,na
St. Kitts and Nevis,4179.29,na
South Korea,4748.64,na
Kuwait,9717.63,201
Lao PDR,146.99,na
Lebanon,958.46,na
Liberia,,na
Libya,,na
St. Lucia,3098.44,na
Latin America & Caribbean,,na
Sri Lanka,416.03,na
Lesotho,271.32,na
Late-demographic dividend,1112.07,na
Lithuania,,na
Latvia,,na
"Macao SAR, China",7053.67,na
St. Martin (French part),,na
Morocco,1076.09,73
Moldova,,na
Madagascar,284.6,na
Maldives,798.04,na
Middle East & North Africa,2454.32,na
Mexico,2302.02,113
Marshall Islands,1618.06,na
Middle income,862.09,na
North Macedonia,,na
Mali,251.7,na
Malta,5814.36,na
Myanmar,39.65,na
Middle East & North Africa (excluding high income),1674.75,na
Montenegro,,na
Mongolia,1545.23,na
Northern Mariana Islands,,na
Mozambique,,na
Mauritania,742.43,na
Mauritius,2046.04,na
Malawi,229.38,na
Malaysia,2134.52,na
North America,21180.22,na
Namibia,2065.56,na
New Caledonia,12665.91,na
Niger,289.67,na
Nigeria,549.5,na
Nicaragua,641.91,na
Netherlands,17744.5,73
Norway,24207.28,166
Nepal,186.26,na
Nauru,,na
New Zealand,13759.16,56
OECD members,14735.73,na
Oman,5165.73,na
Other small states,2573.16,na
Pakistan,356.34,na
Panama,2514.15,na
Peru,730.21,102
Philippines,734.43,131
Palau,,na
Papua New Guinea,993.62,na
Poland,,18
Pre-demographic dividend,620.05,na
Puerto Rico,7595.44,na
"Korea, Dem. People's Rep.",,na
Portugal,5623.7,na
Paraguay,1106.97,na
West Bank and Gaza,,na
Pacific island small states,1181.23,na
Post-demographic dividend,16511.33,na
French Polynesia,13500.03,na
Qatar,14650.74,na
Romania,1753.19,1
Russia,3778.02,1
Rwanda,344.48,na
Saudi Arabia,5998.22,na
Sudan,568.79,na
Senegal,902.27,na
Singapore,8914.44,52
Solomon Islands,578.42,na
Sierra Leone,260.12,na
El Salvador,810.35,na
San Marino,,na
Somalia,145.0,na
Serbia,,na
Sub-Saharan Africa (excluding high income),641.17,na
South Sudan,,na
Sub-Saharan Africa,641.69,na
Small states,2523.16,na
Sao Tome and Principe,,na
Suriname,2887.06,na
Slovak Republic,,na
Slovenia,,na
Sweden,24534.69,16
Eswatini,871.09,na
Sint Maarten (Dutch part),,na
Seychelles,4392.2,na
Syrian Arab Republic,1421.74,na
Turks and Caicos Islands,,na
Chad,270.4,na
Togo,377.41,na
Thailand,1154.58,na
Tajikistan,,na
Turkmenistan,765.93,na
Timor-Leste,,na
Tonga,1089.02,na
Trinidad and Tobago,3612.99,na
Tunisia,1251.27,73
Turkiye,1738.38,na
Tuvalu,,na
Tanzania,211.12,na
Uganda,394.74,na
Ukraine,1452.65,na
Upper middle income,1164.85,na
Uruguay,2668.67,na
United States of America,21417.01,18
Uzbekistan,,na
St. Vincent and the Grenadines,1790.99,na
"Venezuela, RB",3203.4,na
British Virgin Islands,,na
Virgin Islands (U.S.),,na
Viet Nam,397.01,na
Vanuatu,1103.28,na
Samoa,794.35,na
Kosovo,,na
"Yemen, Rep.",,na
South Africa,2780.59,na
Zambia,511.2,na
Zimbabwe,816.7,na
