Country,GDP,rank
Aruba,11638.73,na
Africa Eastern and Southern,821.82,na
Afghanistan,,na
Africa Western and Central,589.17,na
Angola,949.92,na
Albania,617.23,na
Andorra,19208.68,na
Arab World,2882.53,na
United Arab Emirates,26682.85,na
Argentina,4330.97,139
Armenia,634.57,na
American Samoa,,na
Antigua and Barbuda,7255.41,na
Australia,18248.94,50
Austria,21680.99,37
Azerbaijan,1238.27,na
Burundi,206.44,na
Belgium,20600.38,na
Benin,381.81,na
Burkina Faso,339.63,na
Bangladesh,294.9,na
Bulgaria,2366.53,11
Bahrain,8174.8,171
The Bahamas,11696.51,na
Bosnia and Herzegovina,,na
Belarus,,na
Belize,2988.6,na
Bermuda,26841.52,na
Bolivia,685.94,na
Brazil,3065.24,13
Barbados,7772.81,na
Brunei Darussalam,13440.67,na
Bhutan,515.3,na
Botswana,2825.72,na
Central African Republic,512.85,na
Canada,21525.86,29
Central Europe and the Baltics,2305.72,na
Switzerland,39574.54,na
Channel Islands,,na
Chile,2483.56,na
China,347.58,na
Ivory Coast,906.41,na
Cameroon,1077.33,na
Democratic Republic of the Congo,259.24,na
"Congo, Rep.",1173.26,na
Colombia,1467.55,71
Comoros,996.53,na
Cabo Verde,841.81,na
Costa Rica,1808.5,na
Caribbean small states,2995.34,na
Cuba,2695.61,139
Curacao,,na
Cayman Islands,,na
Cyprus,9641.58,106
Czechia,3941.5,na
Germany,22303.96,24
Djibouti,783.7,na
Dominica,2899.06,na
Denmark,26891.45,na
Dominican Republic,992.24,na
Algeria,2431.55,171
Ecuador,1458.33,na
Egypt,751.19,na
Eritrea,,na
Spain,13804.88,156
Estonia,,na
Ethiopia,254.3,na
European Union,15459.5,na
Finland,28364.65,116
Fiji,1713.18,na
France,21865.56,1
Faroe Islands,20236.43,na
"Micronesia, Fed. Sts.",1492.86,na
Gabon,6055.06,na
United Kingdom,19095.47,6
Georgia,1561.85,na
Ghana,381.25,na
Gibraltar,,na
Guinea,419.69,na
"Gambia, The",304.71,na
Guinea-Bissau,250.59,na
Equatorial Guinea,240.83,na
Greece,9600.19,139
Grenada,2807.75,na
Greenland,18326.93,na
Guatemala,845.31,na
Guam,,na
Guyana,530.82,na
High income,18529.02,na
"Hong Kong SAR, China",13485.63,na
Honduras,974.23,na
Heavily indebted poor countries (HIPC),458.0,na
Croatia,,na
Haiti,447.1,na
Hungary,,21
IBRD only,1057.11,na
IDA & IBRD total,934.29,na
IDA total,444.6,na
IDA blend,514.3,na
Indonesia,582.68,225
IDA only,412.62,na
Isle of Man,,na
India,368.75,11
Not classified,,na
Ireland,14031.3,139
"Iran, Islamic Rep.",2237.05,na
Iraq,10216.57,na
Iceland,25384.92,96
Israel,,32
Italy,20825.78,14
Jamaica,1919.8,na
Jordan,1195.23,na
Japan,25801.4,46
Kazakhstan,1647.42,na
Kenya,370.1,na
Kyrgyz Republic,609.17,na
Cambodia,,na
Kiribati,571.5,na
St. Kitts and Nevis,5346.47,na
South Korea,6610.0,na
Kuwait,11002.07,131
Lao PDR,200.62,na
Lebanon,789.85,na
Liberia,,na
Libya,6821.87,na
St. Lucia,4073.26,na
Latin America & Caribbean,2670.52,na
Sri Lanka,466.9,na
Lesotho,331.52,na
Late-demographic dividend,1119.03,na
Lithuania,,na
Latvia,,na
"Macao SAR, China",9269.65,na
St. Martin (French part),,na
Morocco,1219.42,37
Moldova,,na
Madagascar,330.84,na
Maldives,955.93,na
Middle East & North Africa,3161.38,na
Mexico,3196.92,106
Marshall Islands,1704.26,na
Middle income,937.46,na
North Macedonia,2299.04,na
Mali,299.82,na
Malta,7191.92,na
Myanmar,52.75,na
Middle East & North Africa (excluding high income),2221.71,na
Montenegro,,na
Mongolia,1184.76,171
Northern Mariana Islands,,na
Mozambique,,na
Mauritania,751.19,na
Mauritius,2506.18,na
Malawi,286.92,na
Malaysia,2513.24,na
North America,23653.35,na
Namibia,2037.91,na
New Caledonia,14800.79,na
Niger,419.6,na
Nigeria,567.52,na
Nicaragua,238.77,na
Netherlands,21290.86,63
Norway,28242.98,46
Nepal,184.92,na
Nauru,,na
New Zealand,13663.02,96
OECD members,17067.91,na
Oman,6475.42,na
Other small states,3059.14,na
Pakistan,346.67,na
Panama,2626.14,na
Peru,1194.55,na
Philippines,820.49,139
Palau,,na
Papua New Guinea,833.05,na
Poland,1731.21,32
Pre-demographic dividend,975.0,na
Puerto Rico,8652.51,na
"Korea, Dem. People's Rep.",,na
Portugal,7884.62,201
Paraguay,1431.84,na
West Bank and Gaza,,na
Pacific island small states,1325.66,na
Post-demographic dividend,19101.79,na
French Polynesia,15728.72,na
Qatar,16664.83,na
Romania,1648.49,14
Russia,3494.06,1
Rwanda,348.39,na
Saudi Arabia,7349.7,na
Sudan,1301.82,na
Senegal,980.75,na
Singapore,11861.76,116
Solomon Islands,662.85,na
Sierra Leone,150.19,na
El Salvador,897.59,na
San Marino,,na
Somalia,131.02,na
Serbia,,na
Sub-Saharan Africa (excluding high income),725.31,na
South Sudan,,na
Sub-Saharan Africa,725.97,na
Small states,2921.33,na
Sao Tome and Principe,,na
Suriname,940.99,na
Slovak Republic,2405.54,na
Slovenia,,na
Sweden,30593.67,71
Eswatini,1305.25,na
Sint Maarten (Dutch part),,na
Seychelles,5642.07,na
Syrian Arab Republic,1926.38,na
Turks and Caicos Islands,,na
Chad,298.37,na
Togo,420.14,na
Thailand,1545.28,96
Tajikistan,485.32,na
Turkmenistan,806.39,na
Timor-Leste,,na
Tonga,1150.28,na
Trinidad and Tobago,4001.52,na
Tunisia,1456.22,56
Turkiye,2773.27,na
Tuvalu,961.09,na
Tanzania,167.14,na
Uganda,244.75,na
Ukraine,1532.5,na
Upper middle income,1313.12,na
Uruguay,2983.24,na
United States of America,23888.6,9
Uzbekistan,651.42,na
St. Vincent and the Grenadines,2136.84,na
"Venezuela, RB",2461.04,na
British Virgin Islands,,na
Virgin Islands (U.S.),,na
Viet Nam,96.72,na
Vanuatu,1119.28,na
Samoa,747.78,na
Kosovo,,na
"Yemen, Rep.",945.32,na
South Africa,3160.88,na
Zambia,427.41,na
Zimbabwe,868.49,na
