Country,GDP,rank
Aruba,17140.43,na
Africa Eastern and Southern,766.17,na
Afghanistan,,na
Africa Western and Central,872.07,na
Angola,398.12,na
Albania,750.6,na
Andorra,18731.65,na
Arab World,2208.13,na
United Arab Emirates,27010.68,na
Argentina,7383.7,82
Armenia,441.89,54
American Samoa,,na
Antigua and Barbuda,8440.03,na
Australia,20448.12,66
Austria,30325.85,114
Azerbaijan,314.56,245
Burundi,168.63,na
Belgium,28413.83,182
Benin,358.82,na
Burkina Faso,229.83,na
Bangladesh,322.09,na
Bulgaria,2259.26,1
Bahrain,9543.39,na
The Bahamas,11447.02,na
Bosnia and Herzegovina,497.68,329
Belarus,1370.48,82
Belize,4011.14,na
Bermuda,33989.72,na
Bolivia,856.37,na
Brazil,4704.96,23
Barbados,8451.96,na
Brunei Darussalam,15827.99,na
Bhutan,550.66,na
Botswana,3064.59,na
Central African Republic,340.4,na
Canada,20679.63,36
Central Europe and the Baltics,3580.95,na
Switzerland,50113.83,36
Channel Islands,,na
Chile,5094.39,306
China,609.6,na
Ivory Coast,769.26,na
Cameroon,822.36,na
Democratic Republic of the Congo,130.38,na
"Congo, Rep.",771.61,na
Colombia,2571.47,90
Comoros,823.68,na
Cabo Verde,1184.18,na
Costa Rica,3240.71,na
Caribbean small states,3523.82,na
Cuba,2784.9,210
Curacao,,na
Cayman Islands,,na
Cyprus,15261.41,263
Czechia,5824.12,na
Germany,31658.35,23
Djibouti,790.52,na
Dominica,3967.03,na
Denmark,35351.37,193
Dominican Republic,2114.09,na
Algeria,1466.54,na
Ecuador,2113.26,na
Egypt,937.54,na
Eritrea,267.94,na
Spain,15471.96,137
Estonia,3134.39,230
Ethiopia,133.34,na
European Union,19464.09,na
Finland,26271.6,114
Fiji,2486.98,na
France,26889.43,23
Faroe Islands,20577.67,na
"Micronesia, Fed. Sts.",2008.33,na
Gabon,4419.79,na
United Kingdom,23168.95,23
Georgia,578.34,90
Ghana,370.69,na
Gibraltar,,na
Guinea,494.58,na
"Gambia, The",632.77,na
Guinea-Bissau,227.32,na
Equatorial Guinea,252.98,na
Greece,12959.32,148
Grenada,3288.22,na
Greenland,21665.83,na
Guatemala,1424.68,na
Guam,,na
Guyana,826.97,na
High income,24373.93,na
"Hong Kong SAR, China",23497.39,na
Honduras,919.94,na
Heavily indebted poor countries (HIPC),329.52,na
Croatia,4930.34,114
Haiti,368.85,na
Hungary,4494.71,1
IBRD only,1319.21,na
IDA & IBRD total,1152.19,na
IDA total,521.25,na
IDA blend,779.24,na
Indonesia,1020.15,182
IDA only,392.13,na
Isle of Man,12802.12,na
India,373.63,66
Not classified,,na
Ireland,19158.46,291
"Iran, Islamic Rep.",1585.98,na
Iraq,615.5,na
Iceland,26633.59,291
Israel,18916.67,17
Italy,20664.55,114
Jamaica,2621.18,na
Jordan,1509.04,na
Japan,44197.62,15
Kazakhstan,1288.19,230
Kenya,336.57,na
Kyrgyz Republic,364.23,na
Cambodia,315.14,na
Kiribati,691.41,na
St. Kitts and Nevis,7367.45,na
South Korea,12564.72,na
Kuwait,16424.98,406
Lao PDR,357.9,na
Lebanon,2959.56,na
Liberia,,na
Libya,5396.38,na
St. Lucia,5008.03,na
Latin America & Caribbean,4025.56,na
Sri Lanka,716.8,291
Lesotho,518.02,na
Late-demographic dividend,1542.86,na
Lithuania,2167.79,210
Latvia,2329.58,82
"Macao SAR, China",17764.55,na
St. Martin (French part),,na
Morocco,1455.95,90
Moldova,593.59,na
Madagascar,276.74,na
Maldives,1545.22,na
Middle East & North Africa,2601.19,na
Mexico,4225.4,114
Marshall Islands,2371.31,na
Middle income,1148.35,na
North Macedonia,2372.54,66
Mali,272.8,na
Malta,9171.06,na
Myanmar,123.35,na
Middle East & North Africa (excluding high income),1477.81,na
Montenegro,,na
Mongolia,623.16,182
Northern Mariana Islands,,na
Mozambique,196.32,na
Mauritania,878.75,na
Mauritius,3599.55,na
Malawi,201.1,na
Malaysia,4405.12,395
North America,27897.91,na
Namibia,2478.25,na
New Caledonia,18721.06,na
Niger,234.62,na
Nigeria,1302.55,na
Nicaragua,876.86,na
Netherlands,29258.13,102
Norway,34875.7,166
Nepal,197.31,na
Nauru,,na
New Zealand,17400.42,90
OECD members,22224.27,na
Oman,6352.82,na
Other small states,3581.01,na
Pakistan,455.51,na
Panama,3524.88,na
Peru,2180.57,na
Philippines,1222.29,182
Palau,,na
Papua New Guinea,1004.25,na
Poland,3686.85,36
Pre-demographic dividend,569.32,na
Puerto Rico,11579.18,na
"Korea, Dem. People's Rep.",,na
Portugal,11781.36,291
Paraguay,1968.35,na
West Bank and Gaza,1326.56,na
Pacific island small states,1963.97,na
Post-demographic dividend,25096.89,na
French Polynesia,18090.59,na
Qatar,15797.69,na
Romania,1650.05,1
Russia,2665.78,1
Rwanda,227.46,na
Saudi Arabia,7588.76,na
Sudan,483.7,na
Senegal,732.84,na
Singapore,24914.85,66
Solomon Islands,1251.22,na
Sierra Leone,201.37,na
El Salvador,1552.13,na
San Marino,,na
Somalia,,na
Serbia,2207.45,na
Sub-Saharan Africa (excluding high income),806.9,na
South Sudan,,na
Sub-Saharan Africa,807.72,na
Small states,3452.31,na
Sao Tome and Principe,,na
Suriname,1591.73,na
Slovak Republic,4819.13,na
Slovenia,10730.45,230
Sweden,30282.96,102
Eswatini,1781.71,na
