Country,GDP,rank
Aruba,19742.32,na
Africa Eastern and Southern,700.22,na
Afghanistan,,na
Africa Western and Central,1154.48,na
Angola,423.4,na
Albania,813.79,na
Andorra,18592.24,na
Arab World,2367.09,na
United Arab Emirates,25905.84,na
Argentina,8250.67,15
Armenia,584.38,86
American Samoa,,na
Antigua and Barbuda,10029.48,na
Australia,21479.11,49
Austria,27361.88,165
Azerbaijan,561.91,176
Burundi,148.09,na
Belgium,25338.44,49
Benin,372.88,na
Burkina Faso,250.41,na
Bangladesh,401.97,na
Bulgaria,1820.45,4
Bahrain,9195.43,na
The Bahamas,21665.39,na
Bosnia and Herzegovina,1000.42,58
Belarus,1511.26,73
Belize,4119.71,na
Bermuda,51371.74,na
Bolivia,1025.41,na
Brazil,5049.76,29
Barbados,10685.26,na
Brunei Darussalam,12653.81,na
Bhutan,652.36,na
Botswana,2893.33,na
Central African Republic,272.1,na
Canada,21024.59,29
Central Europe and the Baltics,4109.31,na
Switzerland,42680.59,253
Channel Islands,41229.01,na
Chile,5467.19,na
China,828.59,na
Ivory Coast,1237.13,na
Cameroon,789.27,na
Democratic Republic of the Congo,135.48,na
"Congo, Rep.",663.73,na
Colombia,2595.54,29
Comoros,717.32,na
Cabo Verde,1185.58,na
Costa Rica,3580.93,na
Caribbean small states,4682.95,na
Cuba,2332.51,145
Curacao,,na
Cayman Islands,,na
Cyprus,15092.83,134
Czechia,6489.7,na
Germany,27289.06,67
Djibouti,740.04,na
Dominica,4676.83,na
Denmark,33368.14,253
Dominican Republic,2616.75,na
Algeria,1610.3,na
Ecuador,2293.66,na
Egypt,1239.35,na
Eritrea,320.97,na
Spain,15394.35,176
Estonia,4093.39,86
Ethiopia,123.83,na
European Union,18615.77,na
Finland,26009.27,242
Fiji,2031.03,na
France,24971.57,18
Faroe Islands,24623.74,na
"Micronesia, Fed. Sts.",1964.64,na
Gabon,3705.82,na
United Kingdom,28274.5,38
Georgia,851.52,124
Ghana,399.8,na
Gibraltar,,na
Guinea,448.97,na
"Gambia, The",619.59,na
Guinea-Bissau,174.36,na
Equatorial Guinea,588.64,na
Greece,13472.14,58
Grenada,4198.72,na
Greenland,20496.58,na
Guatemala,1755.85,na
Guam,,na
Guyana,948.24,na
High income,23780.22,na
"Hong Kong SAR, China",25808.86,na
Honduras,1009.16,na
Heavily indebted poor countries (HIPC),362.43,na
Croatia,5711.49,104
Haiti,461.97,na
Hungary,4744.21,4
IBRD only,1427.05,na
IDA & IBRD total,1252.54,na
IDA total,616.48,na
IDA blend,960.29,na
Indonesia,459.19,306
IDA only,442.5,na
Isle of Man,18753.04,na
India,412.51,26
Not classified,,na
Ireland,24294.85,158
"Iran, Islamic Rep.",1737.7,na
Iraq,894.33,na
Iceland,31030.05,206
Israel,20106.63,124
Italy,22318.14,165
Jamaica,3410.43,na
Jordan,1633.28,na
Japan,32423.76,7
Kazakhstan,1468.67,104
Kenya,483.71,na
Kyrgyz Republic,345.14,na
Cambodia,267.41,na
Kiribati,761.42,na
St. Kitts and Nevis,8665.1,na
South Korea,8281.72,na
Kuwait,14258.36,404
Lao PDR,243.99,na
Lebanon,4127.32,na
Liberia,,na
Libya,5471.09,na
St. Lucia,5593.75,na
Latin America & Caribbean,4607.78,na
Sri Lanka,850.99,306
Lesotho,467.59,na
Late-demographic dividend,1669.27,na
Lithuania,3166.67,165
Latvia,2973.53,95
"Macao SAR, China",16232.53,na
St. Martin (French part),,na
Morocco,1658.47,242
Moldova,578.73,na
Madagascar,288.64,na
Maldives,1972.62,na
Middle East & North Africa,2820.36,na
Mexico,5882.42,67
Marshall Islands,2111.94,na
Middle income,1245.45,na
North Macedonia,1875.82,158
Mali,274.97,na
Malta,10273.45,na
Myanmar,145.1,na
Middle East & North Africa (excluding high income),1707.14,na
Montenegro,,na
Mongolia,467.51,73
Northern Mariana Islands,,na
Mozambique,328.02,na
Mauritania,796.84,na
Mauritius,3593.24,na
Malawi,237.37,na
Malaysia,3308.84,242
North America,31691.92,na
