Country,GDP,rank
Aruba,10767.4,na
Africa Eastern and Southern,725.87,na
Afghanistan,,na
Africa Western and Central,505.33,na
Angola,892.34,na
Albania,698.0,na
Andorra,15404.82,na
Arab World,2104.34,na
United Arab Emirates,23141.01,na
Argentina,2382.34,na
Armenia,,na
American Samoa,,na
Antigua and Barbuda,6895.39,na
Australia,17834.21,32
Austria,17468.95,32
Azerbaijan,,na
Burundi,207.29,na
Belgium,16525.06,114
Benin,301.68,na
Burkina Faso,294.04,na
Bangladesh,274.39,na
Bulgaria,2477.02,18
Bahrain,7721.74,na
The Bahamas,11533.26,na
Bosnia and Herzegovina,,na
Belarus,,na
Belize,2065.72,na
Bermuda,25517.92,na
Bolivia,678.64,na
Brazil,2875.58,129
Barbados,7753.03,na
Brunei Darussalam,11762.35,na
Bhutan,486.58,na
Botswana,2369.13,na
Central African Republic,452.97,na
Canada,20794.68,32
Central Europe and the Baltics,,na
Switzerland,31308.65,na
Channel Islands,,na
Chile,2280.27,na
China,407.89,na
Ivory Coast,851.21,na
Cameroon,993.09,na
Democratic Republic of the Congo,253.32,na
"Congo, Rep.",1030.36,na
Colombia,1238.6,71
Comoros,813.85,na
Cabo Verde,746.75,na
Costa Rica,1705.43,na
Caribbean small states,2802.62,na
Cuba,2567.02,108
Curacao,,na
Cayman Islands,,na
Cyprus,8038.91,209
Czechia,,na
Germany,17764.38,1
Djibouti,785.29,na
Dominica,2645.76,na
Denmark,21901.05,na
Dominican Republic,957.96,na
Algeria,2235.27,na
Ecuador,1360.49,na
Egypt,712.91,na
Eritrea,,na
Spain,10681.97,122
Estonia,,na
Ethiopia,248.43,na
European Union,12396.1,na
Finland,23973.24,165
Fiji,1530.55,na
France,17747.58,32
Faroe Islands,18360.4,na
"Micronesia, Fed. Sts.",1396.75,na
Gabon,4376.76,na
United Kingdom,16239.28,65
Georgia,,na
Ghana,348.9,na
Gibraltar,,na
Guinea,396.34,na
"Gambia, The",284.2,na
Guinea-Bissau,222.43,na
Equatorial Guinea,196.84,na
Greece,7846.68,32
Grenada,2694.18,na
Greenland,16813.74,na
Guatemala,955.11,na
Guam,,na
Guyana,504.42,na
High income,16620.0,na
"Hong Kong SAR, China",12097.75,na
Honduras,1105.56,na
Heavily indebted poor countries (HIPC),406.16,na
Croatia,,na
Haiti,403.33,na
Hungary,,21
IBRD only,963.99,na
IDA & IBRD total,851.97,na
IDA total,400.83,na
IDA blend,480.16,na
Indonesia,527.81,172
IDA only,363.71,na
Isle of Man,,na
India,347.46,76
Not classified,,na
Ireland,11175.82,165
"Iran, Islamic Rep.",2246.19,na
Iraq,3774.21,na
Iceland,22434.35,148
Israel,,48
Italy,16386.66,65
Jamaica,1855.99,na
Jordan,1274.97,na
Japan,25265.95,na
Kazakhstan,,na
Kenya,369.98,na
Kyrgyz Republic,,na
Cambodia,,na
Kiribati,603.01,na
St. Kitts and Nevis,4696.49,na
South Korea,5817.07,na
Kuwait,11001.68,172
Lao PDR,170.27,na
Lebanon,770.95,na
Liberia,,na
Libya,,na
St. Lucia,3464.88,na
Latin America & Caribbean,2324.64,na
Sri Lanka,411.24,na
Lesotho,280.35,na
Late-demographic dividend,1108.66,na
Lithuania,,na
Latvia,,na
"Macao SAR, China",8020.68,na
St. Martin (French part),,na
Morocco,1081.97,141
Moldova,,na
Madagascar,275.26,na
Maldives,869.58,na
Middle East & North Africa,2476.81,na
Mexico,2759.48,82
Marshall Islands,1618.16,na
Middle income,856.14,na
North Macedonia,,na
Mali,248.67,na
Malta,6040.61,na
Myanmar,50.99,na
Middle East & North Africa (excluding high income),1638.73,na
Montenegro,,na
Mongolia,1686.59,na
Northern Mariana Islands,,na
Mozambique,,na
Mauritania,742.0,na
Mauritius,2075.54,na
Malawi,252.23,na
Malaysia,2282.47,na
North America,22652.52,na
Namibia,1968.17,na
New Caledonia,13092.33,na
Niger,268.55,na
Nigeria,474.46,na
Nicaragua,245.36,na
Netherlands,17397.69,48
Norway,24281.13,82
Nepal,184.13,na
Nauru,,na
New Zealand,13312.39,114
OECD members,15292.15,na
Oman,5468.53,na
Other small states,2624.26,na
Pakistan,359.73,na
Panama,2467.54,na
Peru,1040.48,162
Philippines,806.85,48
Palau,,na
Papua New Guinea,942.18,na
Poland,,32
Pre-demographic dividend,610.33,na
Puerto Rico,8033.09,na
"Korea, Dem. People's Rep.",,na
Portugal,6056.38,165
Paraguay,1204.1,na
West Bank and Gaza,,na
Pacific island small states,1202.61,na
Post-demographic dividend,17134.45,na
French Polynesia,13223.94,na
Qatar,15197.88,na
Romania,1789.64,1
Russia,3429.65,1
Rwanda,336.74,na
Saudi Arabia,6210.05,na
Sudan,842.0,na
Senegal,869.46,na
Singapore,10394.54,76
Solomon Islands,549.6,na
Sierra Leone,224.32,na
El Salvador,829.51,na
San Marino,,na
Somalia,155.27,na
Serbia,,na
Sub-Saharan Africa (excluding high income),634.4,na
South Sudan,,na
Sub-Saharan Africa,634.95,na
Small states,2570.86,na
Sao Tome and Principe,,na
Suriname,1328.73,na
Slovak Republic,,na
Slovenia,,na
Sweden,25662.22,104
Eswatini,843.78,na
Sint Maarten (Dutch part),,na
Seychelles,4689.13,na
Syrian Arab Republic,1546.4,na
Turks and Caicos Islands,,na
Chad,252.83,na
Togo,359.48,na
Thailand,1330.0,129
Tajikistan,,na
Turkmenistan,773.2,na
Timor-Leste,,na
Tonga,1080.97,na
Trinidad and Tobago,3441.35,na
Tunisia,1223.52,41
Turkiye,2009.69,na
Tuvalu,,na
Tanzania,178.11,na
Uganda,309.86,na
Ukraine,1559.34,na
Upper middle income,1176.74,na
Uruguay,2724.1,na
United States of America,22857.15,1
Uzbekistan,,na
St. Vincent and the Grenadines,1911.9,na
"Venezuela, RB",2258.68,na
British Virgin Islands,,na
Virgin Islands (U.S.),,na
Viet Nam,96.13,na
Vanuatu,1046.42,na
Samoa,731.98,na
Kosovo,,na
"Yemen, Rep.",,na
South Africa,2794.4,na
Zambia,533.23,na
Zimbabwe,841.56,na
