Country,GDP
Aruba,
Africa Eastern and Southern,148.774835134161
Afghanistan,60.9503638210144
Africa Western and Central,117.814663235976
Angola,
Albania,
Andorra,
Arab World,
United Arab Emirates,
Argentina,
Armenia,
American Samoa,
Antigua and Barbuda,
Australia,1854.64189048688
Austria,1087.8342434189
Azerbaijan,
Burundi,73.9420079947413
Belgium,1438.5232330684
Benin,91.1713923170452
Burkina Faso,77.0773338372268
Bangladesh,95.0478052237596
Bulgaria,
Bahrain,
The Bahamas,1680.49484945793
Bosnia and Herzegovina,
Belarus,
Belize,331.201312612715
Bermuda,2020.38592936343
Bolivia,114.881103341666
Brazil,
Barbados,
Brunei Darussalam,
Bhutan,
Botswana,66.4487249790147
Central African Republic,71.439099543679
Canada,2268.58534607907
Central Europe and the Baltics,
Switzerland,2131.39165159983
Channel Islands,
Chile,663.587769703281
China,70.9091524330558
Ivory Coast,161.390234007521
Cameroon,130.895301042942
Democratic Republic of the Congo,
"Congo, Rep.",149.702466899067
Colombia,296.893804730888
Comoros,
Cabo Verde,
Costa Rica,331.146214193905
Caribbean small states,493.290790986346
Cuba,
Curacao,
Cayman Islands,
Cyprus,
Czechia,
Germany,
Djibouti,
Dominica,
Denmark,
Dominican Republic,234.041924772604
Algeria,169.927013321055
Ecuador,310.444941674837
Egypt,
Eritrea,
Spain,520.206131380005
Estonia,
Ethiopia,
European Union,
Finland,1411.70239818044
Fiji,287.369351892853
France,1585.73531130188
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,347.684537380648
United Kingdom,1525.77585271032
Georgia,
Ghana,190.922151904581
Gibraltar,
Guinea,
"Gambia, The",
Guinea-Bissau,
Equatorial Guinea,32.8759647309217
Greece,617.057757690519
Grenada,
Greenland,
Guatemala,261.179133806117
Guam,
Guyana,322.319570238758
High income,1527.7625936543
"Hong Kong SAR, China",487.821134050813
Honduras,176.021651911566
Heavily indebted poor countries (HIPC),98.1901875124277
Croatia,
Haiti,69.6126734964288
Hungary,
IBRD only,164.339793434625
IDA & IBRD total,154.119483134148
IDA total,99.6169014739105
IDA blend,109.206808155848
Indonesia,
IDA only,101.17966911168
Isle of Man,
India,90.2768689288905
Not classified,
Ireland,797.006288353959
Iran,207.633533944117
Iraq,261.219377585624
Iceland,1562.23073045837
Israel,1094.63584823375
Italy,990.26015216342
Jamaica,461.899099046079
Jordan,
Japan,639.640785435342
Kazakhstan,
Kenya,103.796652671314
Kyrgyz Republic,
Cambodia,114.012204932346
Kiribati,
St. Kitts and Nevis,226.366964706129
South Korea,106.159702780685
Kuwait,
Lao PDR,
Lebanon,
Liberia,
Libya,
St. Lucia,
Latin America & Caribbean,
Sri Lanka,139.685109544997
Lesotho,53.3464978201418
Late-demographic dividend,186.666509987952
Lithuania,
Latvia,
"Macao SAR, China",
St. Martin (French part),
Morocco,191.220199584961
Moldova,
Madagascar,138.362477855674
Maldives,
Middle East & North Africa,
Mexico,392.934591409938
Marshall Islands,
Middle income,148.978434396862
North Macedonia,
Mali,
Malta,
Myanmar,27.9531785715077
Middle East & North Africa (excluding high income),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,185.421053800702
Mauritius,
Malawi,
Malaysia,240.441757073728
North America,3155.09753778156
Namibia,
New Caledonia,
Niger,143.283981659852
Nigeria,104.852749314777
Nicaragua,
Netherlands,1240.67789437294
Norway,1667.2474297782
Nepal,54.3095756896355
Nauru,
New Zealand,2448.62863326468
OECD members,1477.72284201546
Oman,
Other small states,
Pakistan,89.4933355376524
Panama,545.119866520548
Peru,
Philippines,164.135576713545
Palau,
Papua New Guinea,125.414773624721
Poland,
Pre-demographic dividend,105.464798407035
Puerto Rico,854.74480496849
"Korea, Dem. People's Rep.",
Portugal,407.852843612372
Paraguay,
West Bank and Gaza,
Pacific island small states,
Post-demographic dividend,1543.96129016215
French Polynesia,
Qatar,
Romania,
Russia,
Rwanda,40.036849273123
Saudi Arabia,
Sudan,112.309196472168
Senegal,313.402127599266
Singapore,472.082740153988
Solomon Islands,
Sierra Leone,143.887992776198
El Salvador,
San Marino,
Somalia,67.3316493293295
Serbia,
Sub-Saharan Africa (excluding high income),133.310223343652
South Sudan,
Sub-Saharan Africa,133.332085527768
Small states,
Sao Tome and Principe,
Suriname,402.891522801614
Slovak Republic,
Slovenia,
Sweden,2468.69458903006
Eswatini,127.199605696445
Sint Maarten (Dutch part),
Seychelles,287.04477353783
Syrian Arab Republic,226.877837619611
Turks and Caicos Islands,
Chad,113.59854592478
Togo,77.4749775033854
Thailand,117.162113544618
Tajikistan,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad and Tobago,702.559102344955
Tunisia,
Turkiye,307.306285780158
Tuvalu,
Tanzania,
Uganda,55.6478064244711
Ukraine,
Upper middle income,181.093898135676
Uruguay,680.299518344434
United States of America,3243.84307754988
Uzbekistan,
St. Vincent and the Grenadines,166.603164465444
"Venezuela, RB",1006.87997715942
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,
Vanuatu,
Samoa,
Kosovo,
"Yemen, Rep.",
South Africa,560.699394468497
Zambia,208.562684585176
Zimbabwe,275.966139378504
