Country,GDP,rank
Aruba,14970.15,na
Africa Eastern and Southern,710.18,na
Afghanistan,,na
Africa Western and Central,571.88,na
Angola,466.68,na
Albania,367.28,284
Andorra,17024.31,na
Arab World,2054.97,na
United Arab Emirates,25019.37,na
Argentina,6957.42,83
Armenia,347.47,28
American Samoa,,na
Antigua and Barbuda,8129.14,na
Australia,17699.56,28
Austria,24081.53,44
Azerbaijan,209.53,111
Burundi,168.96,na
Belgium,22283.94,161
Benin,398.61,na
Burkina Faso,325.15,na
Bangladesh,292.43,na
Bulgaria,1278.53,14
Bahrain,9063.57,284
The Bahamas,10730.0,na
Bosnia and Herzegovina,,176
Belarus,1603.34,52
Belize,3862.55,na
Bermuda,30900.69,na
Bolivia,760.12,na
Brazil,2766.35,102
Barbados,7905.68,na
Brunei Darussalam,14420.59,na
Bhutan,433.87,na
Botswana,2845.0,na
Central African Republic,413.96,na
Canada,20186.8,12
Central Europe and the Baltics,2491.38,na
Switzerland,39237.12,73
Channel Islands,,na
Chile,3520.93,na
China,525.37,na
Ivory Coast,829.48,na
Cameroon,1295.92,na
Democratic Republic of the Congo,272.05,na
"Congo, Rep.",1034.75,na
Colombia,1920.4,102
Comoros,977.47,na
Cabo Verde,1251.87,na
Costa Rica,2814.04,na
Caribbean small states,3097.13,na
Cuba,2063.22,73
Curacao,,na
Cayman Islands,,na
Cyprus,10526.14,284
Czechia,3956.18,na
Germany,25522.63,3
Djibouti,762.48,na
Dominica,3549.65,na
Denmark,27597.98,91
Dominican Republic,1726.63,na
Algeria,1825.88,311
Ecuador,1701.16,na
Egypt,758.83,na
Eritrea,236.13,na
Spain,13339.91,91
Estonia,,161
Ethiopia,164.17,na
European Union,15933.07,na
Finland,17608.81,241
Fiji,2073.12,na
France,22380.33,19
Faroe Islands,16874.16,na
"Micronesia, Fed. Sts.",1871.17,na
Gabon,4109.9,na
United Kingdom,18389.02,39
Georgia,550.04,91
Ghana,358.63,na
Gibraltar,,na
Guinea,465.38,na
"Gambia, The",646.27,na
