Country,GDP,rank
Aruba,,na
Africa Eastern and Southern,506.82,na
Afghanistan,,na
Africa Western and Central,644.34,na
Angola,758.09,na
Albania,639.87,na
Andorra,7914.87,na
Arab World,2164.53,na
United Arab Emirates,29432.83,na
Argentina,2919.28,na
Armenia,,na
American Samoa,,na
Antigua and Barbuda,3703.79,na
Australia,11441.19,7
Austria,9172.1,75
Azerbaijan,,na
Burundi,232.41,na
Belgium,8750.82,5
Benin,236.61,na
Burkina Faso,194.57,na
Bangladesh,232.17,na
Bulgaria,1914.55,4
Bahrain,8407.16,na
The Bahamas,9436.23,na
Bosnia and Herzegovina,,na
Belarus,,na
Belize,1301.08,na
Bermuda,18269.54,na
Bolivia,842.09,na
Brazil,,54
Barbados,5465.2,na
Brunei Darussalam,15863.26,na
Bhutan,337.01,na
Botswana,978.99,na
Central African Republic,338.75,na
Canada,14170.12,27
Central Europe and the Baltics,,na
Switzerland,17152.09,na
Channel Islands,,na
Chile,1437.38,na
China,294.79,na
Ivory Coast,700.28,na
Cameroon,871.54,na
Democratic Republic of the Congo,194.13,na
"Congo, Rep.",1047.67,na
Colombia,1189.87,93
Comoros,523.7,na
Cabo Verde,405.23,na
Costa Rica,1414.13,na
Caribbean small states,2707.1,na
Cuba,2258.39,65
Curacao,,na
Cayman Islands,,na
Cyprus,4488.29,93
Czechia,,na
Germany,9429.57,11
Djibouti,850.97,na
Dominica,1668.97,na
Denmark,12253.1,na
Dominican Republic,786.03,na
Algeria,2617.73,129
Ecuador,1853.09,na
Egypt,780.51,na
Eritrea,,na
Spain,4699.66,118
Estonia,,na
Ethiopia,235.34,na
European Union,6469.42,na
Finland,11398.11,108
Fiji,1568.7,na
France,9778.09,19
Faroe Islands,10078.05,na
"Micronesia, Fed. Sts.",,na
Gabon,3899.57,na
United Kingdom,8652.22,15
Georgia,,na
Ghana,329.95,na
Gibraltar,,na
Guinea,,na
"Gambia, The",263.71,na
Guinea-Bissau,159.82,na
Equatorial Guinea,164.17,na
Greece,4813.71,40
Grenada,1667.68,na
Greenland,7760.83,na
Guatemala,1233.08,na
Guam,,na
Guyana,586.91,na
High income,10302.56,na
"Hong Kong SAR, China",6542.97,na
Honduras,1202.94,na
Heavily indebted poor countries (HIPC),325.25,na
Croatia,,na
Haiti,321.73,na
Hungary,,1
IBRD only,881.6,na
IDA & IBRD total,790.62,na
IDA total,405.19,na
IDA blend,594.52,na
Indonesia,514.44,na
IDA only,311.46,na
Isle of Man,,na
India,298.0,na
Not classified,,na
Ireland,6011.74,na
"Iran, Islamic Rep.",3812.11,na
Iraq,3073.86,na
Iceland,12361.19,139
Israel,,22
Italy,7990.69,129
Jamaica,916.32,na
Jordan,1814.87,na
Japan,11809.46,na
Kazakhstan,,na
Kenya,315.39,na
Kyrgyz Republic,,na
Cambodia,,na
Kiribati,481.58,na
St. Kitts and Nevis,2634.0,na
South Korea,2482.4,na
Kuwait,11353.23,170
Lao PDR,632.53,na
Lebanon,,na
Liberia,,na
Libya,,na
St. Lucia,2142.69,na
Latin America & Caribbean,,na
