Country,GDP,rank
Aruba,28449.71,na
Africa Eastern and Southern,1444.0,na
Afghanistan,523.05,na
Africa Western and Central,1648.76,na
Angola,1809.71,na
Albania,4124.06,206
Andorra,39931.24,na
Arab World,6117.87,na
United Arab Emirates,41054.54,na
Argentina,12790.26,224
Armenia,3679.95,114
American Samoa,13300.82,na
Antigua and Barbuda,16449.06,na
Australia,49918.79,114
Austria,45307.59,206
Azerbaijan,3880.69,184
Burundi,242.54,na
Belgium,42012.62,224
Benin,1049.82,na
Burkina Faso,665.79,na
Bangladesh,1659.96,45
Bulgaria,7570.93,68
Bahrain,22867.18,na
The Bahamas,29675.54,na
Bosnia and Herzegovina,4917.26,169
Belarus,5039.78,94
Belize,6099.96,na
Bermuda,106885.88,na
Bolivia,3013.5,na
Brazil,8680.74,78
Barbados,17381.37,na
Brunei Darussalam,26762.04,na
Bhutan,2879.55,na
Botswana,6411.55,443
Central African Republic,372.14,na
Canada,42315.6,17
Central Europe and the Baltics,12783.18,na
Switzerland,82153.07,137
Channel Islands,58094.0,na
Chile,13788.24,443
China,8094.39,na
Ivory Coast,1999.2,na
Cameroon,1426.07,na
Democratic Republic of the Congo,456.03,na
"Congo, Rep.",2107.5,na
Colombia,5936.26,169
Comoros,1357.27,na
Cabo Verde,3312.7,na
Costa Rica,11899.81,169
Caribbean small states,9805.59,na
Cuba,8055.93,na
Curacao,18944.1,na
Cayman Islands,78858.28,na
Cyprus,24605.35,137
Czechia,18575.23,na
Germany,42136.12,63
Djibouti,2545.74,na
Dominica,8223.04,na
Denmark,54664.0,312
Dominican Republic,7191.07,na
Algeria,3967.2,368
Ecuador,6079.09,312
Egypt,3331.61,515
Eritrea,,na
Spain,26537.16,184
Estonia,18295.34,253
Ethiopia,705.62,na
European Union,31174.03,na
Finland,43814.03,355
Fiji,5368.43,na
France,37062.53,45
Faroe Islands,56833.92,na
"Micronesia, Fed. Sts.",3022.65,na
Gabon,6722.2,na
United Kingdom,40985.24,19
Georgia,4062.13,253
Ghana,1900.4,501
Gibraltar,,na
Guinea,720.47,na
"Gambia, The",640.68,na
Guinea-Bissau,642.67,na
Equatorial Guinea,8035.31,na
Greece,17923.97,224
Grenada,8849.51,na
Greenland,48181.75,na
Guatemala,4173.28,na
Guam,35052.81,na
Guyana,5905.38,na
High income,40428.18,na
"Hong Kong SAR, China",43734.2,na
Honduras,2295.54,409
Heavily indebted poor countries (HIPC),981.83,na
Croatia,12579.92,78
Haiti,1313.19,na
Hungary,13104.7,12
IBRD only,5523.36,na
IDA & IBRD total,4463.08,na
IDA total,1362.46,na
IDA blend,1820.08,na
Indonesia,3558.82,68
IDA only,1133.38,na
Isle of Man,82041.62,na
India,1714.28,94
Not classified,,na
Ireland,62784.07,281
"Iran, Islamic Rep.",5497.24,na
Iraq,4305.2,539
Iceland,61987.93,443
Israel,37690.47,94
Italy,30960.73,23
Jamaica,5022.7,409
Jordan,4003.4,na
Japan,39375.47,23
Kazakhstan,7714.84,35
Kenya,1562.08,481
Kyrgyz Republic,1120.67,na
Cambodia,1281.11,443
Kiribati,1506.23,na
St. Kitts and Nevis,21079.52,na
South Korea,29280.44,na
Kuwait,27026.69,na
Lao PDR,2309.05,na
Lebanon,8172.3,na
Liberia,722.13,na
Libya,7945.01,na
St. Lucia,10574.39,na
Latin America & Caribbean,8421.15,na
Sri Lanka,4107.83,206
Lesotho,994.24,na
Late-demographic dividend,8182.34,na
Lithuania,15008.31,206
Latvia,14331.75,312
"Macao SAR, China",71919.05,na
St. Martin (French part),,na
Morocco,3132.95,206
Moldova,2847.64,na
Madagascar,464.62,481
Maldives,9708.14,na
Middle East & North Africa,7158.05,na
