Country,GDP,rank
Aruba,25832.93,na
Africa Eastern and Southern,1232.42,na
Afghanistan,274.02,na
Africa Western and Central,1243.17,na
Angola,2597.96,na
Albania,2972.74,60
Andorra,43084.28,na
Arab World,4704.01,na
United Arab Emirates,45339.59,na
Argentina,5890.98,76
Armenia,2109.53,52
American Samoa,8673.93,na
Antigua and Barbuda,14310.69,na
Australia,36595.71,76
Austria,40669.33,132
Azerbaijan,2472.96,76
Burundi,166.28,na
Belgium,38705.11,150
Benin,837.13,na
Burkina Faso,457.34,na
Bangladesh,503.54,335
Bulgaria,4523.15,60
Bahrain,19057.8,na
The Bahamas,28829.85,na
Bosnia and Herzegovina,3170.17,52
Belarus,3848.22,60
Belize,5486.83,na
Bermuda,95221.86,na
Bolivia,1200.07,437
Brazil,5866.02,132
Barbados,15595.64,na
Brunei Darussalam,30767.75,na
Bhutan,1299.63,na
Botswana,5142.91,na
Central African Republic,340.41,na
Canada,40504.06,52
Central Europe and the Baltics,9469.73,na
Switzerland,59011.03,27
Channel Islands,63665.32,na
Chile,9418.27,na
China,2099.22,na
Ivory Coast,1303.56,na
Cameroon,1177.97,na
Democratic Republic of the Congo,247.54,na
"Congo, Rep.",2116.87,na
Colombia,3782.6,189
Comoros,1155.09,na
Cabo Verde,2220.1,na
Costa Rica,5188.36,189
Caribbean small states,8193.45,na
Cuba,4336.87,na
Curacao,,na
Cayman Islands,87184.51,na
Cyprus,26729.32,364
Czechia,15261.8,na
Germany,36353.88,6
Djibouti,907.82,na
Dominica,5677.05,na
Denmark,52027.0,291
Dominican Republic,4080.05,na
Algeria,3500.13,na
Ecuador,3340.84,189
Egypt,1332.34,na
Eritrea,420.53,na
Spain,28389.08,52
Estonia,12639.4,132
Ethiopia,191.75,na
European Union,29089.71,na
Finland,41222.6,161
Fiji,3483.6,na
France,36470.21,16
Faroe Islands,41762.69,na
"Micronesia, Fed. Sts.",2298.64,na
Gabon,6873.45,na
United Kingdom,44512.46,76
Georgia,1996.02,109
Ghana,904.17,na
Gibraltar,,na
Guinea,452.28,na
"Gambia, The",615.97,na
Guinea-Bissau,418.9,na
Equatorial Guinea,11140.19,na
Greece,24821.94,161
Grenada,6295.28,na
Greenland,35458.25,na
Guatemala,2251.08,na
Guam,25735.54,na
Guyana,3138.08,na
High income,34885.35,na
"Hong Kong SAR, China",28224.1,na
Honduras,1409.58,na
Heavily indebted poor countries (HIPC),584.79,na
Croatia,11505.4,60
Haiti,824.36,na
Hungary,11489.56,52
IBRD only,2692.21,na
IDA & IBRD total,2268.25,na
IDA total,868.6,na
IDA blend,1150.62,na
Indonesia,1572.8,na
IDA only,727.51,na
Isle of Man,42662.6,na
India,802.01,132
Not classified,,na
Ireland,54329.16,308
"Iran, Islamic Rep.",3736.18,na
Iraq,2253.55,na
Iceland,57492.93,132
Israel,22494.64,45
Italy,33529.73,16
Jamaica,4435.57,na
Jordan,2478.29,na
Japan,35991.55,13
Kazakhstan,5291.57,117
Kenya,699.4,na
Kyrgyz Republic,543.11,na
Cambodia,539.75,na
Kiribati,1101.46,na
St. Kitts and Nevis,13747.81,na
South Korea,21743.48,na
Kuwait,42970.7,427
Lao PDR,581.01,na
Lebanon,4665.96,na
Liberia,323.84,na
Libya,10060.36,na
St. Lucia,7618.91,na
Latin America & Caribbean,6028.74,na
Sri Lanka,1423.19,161
Lesotho,910.62,na
Late-demographic dividend,3499.41,na
Lithuania,9230.71,98
Latvia,9723.45,132
"Macao SAR, China",29637.77,na
St. Martin (French part),,na
Morocco,2433.21,254
Moldova,1183.02,na
Madagascar,330.52,na
Maldives,5010.16,na
Middle East & North Africa,5308.2,na
Mexico,9545.29,27
Marshall Islands,2633.29,na
Middle income,2269.89,na
North Macedonia,3362.97,189
Mali,506.91,na
Malta,16723.88,na
Myanmar,301.58,na
Middle East & North Africa (excluding high income),2963.39,na
Montenegro,4425.68,na
Mongolia,1322.64,150
Northern Mariana Islands,14986.38,na
Mozambique,458.62,489
Mauritania,1272.08,na
Mauritius,5695.98,na
Malawi,443.52,na
Malaysia,6137.15,189
North America,45741.03,na
Namibia,4027.96,na
New Caledonia,29604.05,na
Niger,331.1,na
Nigeria,1652.15,448
Nicaragua,1223.08,na
Netherlands,44900.94,308
Norway,74434.5,132
Nepal,341.03,na
Nauru,,na
New Zealand,26654.59,161
OECD members,31656.87,na
Oman,14533.73,na
Other small states,8971.45,na
Pakistan,909.03,335
Panama,5385.56,364
Peru,3123.32,117
Philippines,1452.22,na
Palau,9805.92,na
Papua New Guinea,1245.47,na
Poland,9035.53,5
Pre-demographic dividend,990.33,na
Puerto Rico,22935.94,448
"Korea, Dem. People's Rep.",,na
Portugal,19839.45,189
Paraguay,2426.42,109
West Bank and Gaza,1570.1,na
Pacific island small states,2586.39,na
Post-demographic dividend,35741.65,na
French Polynesia,21382.24,na
Qatar,59978.86,na
Romania,5757.53,11
Russia,6920.2,1
Rwanda,358.14,na
Saudi Arabia,14848.6,459
Sudan,1179.9,na
Senegal,1038.58,na
Singapore,33768.45,98
Solomon Islands,1250.95,na
Sierra Leone,320.51,na
El Salvador,2651.43,335
San Marino,63692.62,na
Somalia,,na
Serbia,4382.62,150
Sub-Saharan Africa (excluding high income),1234.18,na
South Sudan,,na
Sub-Saharan Africa,1235.42,na
Small states,8385.69,na
Sao Tome and Principe,861.52,na
Suriname,5031.16,na
Slovak Republic,13170.78,na
Slovenia,19672.97,109
Sweden,46593.6,132
Eswatini,3053.93,na
Sint Maarten (Dutch part),,na
Seychelles,12782.99,na
Syrian Arab Republic,7914.77,na
Turks and Caicos Islands,28728.57,na
Chad,716.67,na
Togo,400.32,na
Thailand,3343.79,27
Tajikistan,401.03,291
Turkmenistan,2074.41,117
Timor-Leste,456.27,na
Tonga,2751.96,na
Trinidad and Tobago,13340.92,335
Tunisia,3279.1,na
Turkiye,8003.81,na
Tuvalu,2402.48,na
Tanzania,472.61,na
Uganda,346.77,na
Ukraine,2391.32,27
Upper middle income,3467.71,na
Uruguay,5942.13,335
United States of America,46302.0,16
Uzbekistan,654.28,150
St. Vincent and the Grenadines,5775.09,na
"Venezuela, RB",6769.87,na
British Virgin Islands,,na
Virgin Islands (U.S.),41377.15,na
Viet Nam,790.59,na
Vanuatu,1970.9,na
Samoa,2639.81,na
Kosovo,,na
"Yemen, Rep.",867.84,na
South Africa,6139.58,319
Zambia,1065.6,na
Zimbabwe,441.5,na
