Country,GDP,rank
Aruba,7567.25,na
Africa Eastern and Southern,655.89,na
Afghanistan,,na
Africa Western and Central,578.12,na
Angola,756.43,na
Albania,674.79,na
Andorra,12833.0,na
Arab World,2142.98,na
United Arab Emirates,23088.2,na
Argentina,3492.69,na
Armenia,,na
American Samoa,,na
Antigua and Barbuda,5239.46,na
Australia,11650.8,28
Austria,16392.77,23
Azerbaijan,,na
Burundi,219.37,na
Belgium,15135.85,65
Benin,333.22,na
Burkina Faso,280.95,na
Bangladesh,241.79,na
Bulgaria,3132.3,1
Bahrain,7270.2,na
The Bahamas,10617.41,na
Bosnia and Herzegovina,,na
Belarus,,na
Belize,1643.95,na
Bermuda,22411.8,na
Bolivia,652.71,na
Brazil,,1
Barbados,6589.38,na
Brunei Darussalam,11587.49,na
Bhutan,472.24,na
Botswana,1610.37,na
Central African Republic,459.17,na
Canada,16377.69,1
Central Europe and the Baltics,,na
Switzerland,30440.51,na
Channel Islands,,na
Chile,1750.26,na
China,301.73,na
Ivory Coast,946.0,na
Cameroon,1250.7,na
Democratic Republic of the Congo,219.34,na
"Congo, Rep.",1049.85,na
Colombia,1188.55,101
Comoros,850.43,na
Cabo Verde,674.62,na
Costa Rica,1549.94,na
Caribbean small states,2613.34,na
Cuba,2441.58,86
Curacao,,na
Cayman Islands,,na
Cyprus,6690.58,135
Czechia,,na
Germany,16677.51,1
Djibouti,825.55,na
Dominica,2144.8,na
Denmark,21340.73,na
Dominican Republic,870.66,na
Algeria,2829.88,146
Ecuador,1433.33,na
Egypt,765.61,na
Eritrea,,na
Spain,8239.61,78
Estonia,,na
Ethiopia,245.67,na
European Union,11126.74,na
Finland,18571.06,91
Fiji,1560.65,na
France,16340.73,36
Faroe Islands,19074.14,na
"Micronesia, Fed. Sts.",1256.93,na
Gabon,3626.23,na
United Kingdom,13118.59,1
Georgia,,na
Ghana,354.62,na
Gibraltar,,na
Guinea,350.73,na
"Gambia, The",238.8,na
Guinea-Bissau,187.24,na
Equatorial Guinea,225.06,na
Greece,6564.88,72
Grenada,2137.29,na
Greenland,14554.35,na
Guatemala,850.22,na
Guam,,na
Guyana,464.3,na
High income,14312.9,na
"Hong Kong SAR, China",9071.39,na
Honduras,1332.52,na
Heavily indebted poor countries (HIPC),391.79,na
Croatia,,na
Haiti,314.55,na
Hungary,,28
IBRD only,910.35,na
IDA & IBRD total,815.52,na
IDA total,418.41,na
IDA blend,515.5,na
Indonesia,440.37,na
IDA only,373.32,na
Isle of Man,,na
India,342.07,na
Not classified,,na
Ireland,9581.91,na
"Iran, Islamic Rep.",2651.48,na
Iraq,3420.54,na
Iceland,22453.19,121
Israel,,na
Italy,14234.73,101
Jamaica,1406.96,na
Jordan,2241.09,na
Japan,21141.72,na
Kazakhstan,,na
Kenya,381.71,na
Kyrgyz Republic,,na
Cambodia,,na
Kiribati,510.53,na
St. Kitts and Nevis,3550.19,na
South Korea,3554.61,na
Kuwait,10919.68,141
Lao PDR,274.58,na
Lebanon,,na
Liberia,,na
Libya,,na
St. Lucia,2745.69,na
Latin America & Caribbean,,na
Sri Lanka,403.83,na
Lesotho,237.07,na
Late-demographic dividend,990.62,na
Lithuania,,na
Latvia,,na
"Macao SAR, China",6278.62,na
St. Martin (French part),,na
Morocco,928.5,101
Moldova,,na
Madagascar,295.02,na
Maldives,691.4,na
Middle East & North Africa,2666.01,na
Mexico,1902.46,131
Marshall Islands,1495.25,na
Middle income,814.82,na
North Macedonia,,na
Mali,246.7,na
Malta,5083.67,na
Myanmar,40.87,na
Middle East & North Africa (excluding high income),1875.9,na
Montenegro,,na
Mongolia,1494.24,121
Northern Mariana Islands,,na
