Country,GDP,rank
Aruba,22050.59,na
Africa Eastern and Southern,818.12,na
Afghanistan,199.64,na
Africa Western and Central,697.85,na
Angola,982.81,na
Albania,1846.12,269
Andorra,31954.16,na
Arab World,2916.8,na
United Arab Emirates,32607.37,na
Argentina,3333.15,29
Armenia,910.17,163
American Samoa,9043.68,na
Antigua and Barbuda,10968.89,na
Australia,23718.13,69
Austria,32294.05,211
Azerbaijan,883.69,69
Burundi,114.37,na
Belgium,30655.21,69
Benin,698.41,na
Burkina Faso,363.82,na
Bangladesh,440.71,na
Bulgaria,2719.49,4
Bahrain,14230.3,na
The Bahamas,26204.88,na
Bosnia and Herzegovina,2031.4,124
Belarus,1819.53,29
Belize,4937.09,na
Bermuda,66111.73,na
Bolivia,892.36,na
Brazil,3056.65,98
Barbados,11998.18,na
Brunei Darussalam,18521.37,na
Bhutan,951.74,na
Botswana,4111.74,na
Central African Republic,283.68,na
Canada,28300.46,23
Central Europe and the Baltics,5949.8,na
Switzerland,49335.75,292
Channel Islands,49428.31,na
Chile,4823.26,na
China,1288.64,na
Ivory Coast,1173.06,na
Cameroon,976.52,na
Democratic Republic of the Congo,167.98,na
"Congo, Rep.",1023.09,na
Colombia,2305.17,179
Comoros,959.23,na
Cabo Verde,1693.98,na
Costa Rica,4123.51,na
Caribbean small states,5939.34,na
Cuba,3205.69,179
Curacao,,na
Cayman Islands,,na
Cyprus,20252.24,292
Czechia,9818.57,na
Germany,30310.36,12
Djibouti,771.37,na
Dominica,5016.09,na
Denmark,40458.78,292
Dominican Republic,2399.5,na
Algeria,2117.05,na
Ecuador,2438.34,320
Egypt,1056.94,na
Eritrea,327.98,na
Spain,21510.84,138
Estonia,7203.52,211
Ethiopia,117.86,na
European Union,22967.93,na
Finland,32927.68,197
Fiji,2680.27,na
France,29627.92,48
Faroe Islands,31691.88,na
"Micronesia, Fed. Sts.",2195.19,na
Gabon,4724.25,na
United Kingdom,34442.69,29
Georgia,1010.03,56
Ghana,357.85,na
Gibraltar,,na
Guinea,392.88,na
"Gambia, The",310.96,na
Guinea-Bissau,362.91,na
Equatorial Guinea,3146.52,na
Greece,18518.38,69
Grenada,5435.15,na
Greenland,27459.88,na
Guatemala,1737.88,na
Guam,21844.11,na
Guyana,976.99,na
High income,28617.31,na
"Hong Kong SAR, China",23977.17,na
Honduras,1142.81,na
Heavily indebted poor countries (HIPC),408.38,na
Croatia,8192.32,107
Haiti,575.56,na
Hungary,8419.43,29
IBRD only,1647.16,na
IDA & IBRD total,1405.0,na
IDA total,574.08,na
IDA blend,692.32,na
